台灣高鐵 0.00468(115/252)	實價登錄 0.003215(81/248)	汽車公司 0.003134(78/102)	市場競爭 0.002767(67/112)	到現場 0.002686(65/138)	為新台幣 0.002483(55/112)	高雄捷運 0.002361(57/204)	豐田汽車 0.002157(51/67)	高鐵財務 0.002116(52/52)	相關新聞 0.001913(46/116)	
統一渡假村 0.007781(201/205)	縣長參選人 0.006736(183/253)	產業發展 0.006658(173/754)	鹿港文創 0.006155(159/159)	創會館 0.005845(151/151)	現金股利 0.004684(119/282)	6月30日 0.003562(84/252)	7月10日 0.002904(68/148)	官方網站 0.002787(69/130)	獲利表現 0.00271(70/178)	
新北市長 0.033832(1212/1236)	市長朱立倫 0.027255(977/1004)	新北市 0.022176(795/2388)	台中市長 0.016902(610/622)	市長胡志強 0.016847(601/654)	訪台 0.013489(484/858)	市長陳菊 0.010963(395/884)	市長參選人 0.008771(318/712)	召開記者會 0.008687(310/822)	大陸國台辦 0.00544(186/628)	
投資者 0.008606(198/362)	競選總部 0.006603(149/358)	都市計畫 0.006135(140/444)	今天報導 0.005922(133/244)	國寶人壽 0.005751(135/295)	投資金額 0.004985(123/252)	台資企業 0.004218(96/156)	指數上漲 0.004005(94/293)	競爭對手 0.003962(91/326)	經濟數據 0.003664(85/206)	
應變中心 0.016231(399/470)	災害應變 0.012953(320/384)	大陸官方 0.004696(109/286)	房地產市場 0.003967(95/232)	中央災害 0.003846(90/184)	投入救援 0.003117(76/90)	市場人士 0.002308(50/125)	人士透露 0.002146(53/190)	功能障礙 0.001862(45/72)	水上樂園 0.001822(46/93)	
7月1日 0.008923(255/602)	戶政事務所 0.006719(194/200)	台灣大道 0.006474(183/246)	快捷巴士 0.006124(175/202)	搭車 0.005494(156/292)	局長林良泰 0.004584(130/131)	專用道 0.003604(100/181)	靜宜大學 0.003429(98/98)	消防人員 0.00308(90/176)	試營運 0.00252(70/212)	
造成重大 0.003341(77/156)	台灣旅客 0.002923(64/108)	公民基金會 0.002631(63/176)	地球公民 0.002631(64/176)	汽車零件 0.002422(58/58)	今年3月 0.002172(53/370)	12年國教 0.002046(52/404)	總統說 0.001671(38/350)	8月11日 0.001629(41/98)	基金會執行長 0.001504(35/156)	
當地時間 0.005883(143/250)	汽車旅館 0.003066(78/86)	願景 0.002279(58/326)	提供中央社 0.002154(50/65)	大漲 0.00203(47/130)	就業中心 0.001864(46/100)	中央社103年 0.001823(43/55)	大使館提供 0.001782(43/43)	造成嚴重 0.001699(43/196)	藍光 0.001657(40/133)	
電信業者 0.005576(137/284)	僑教中心 0.004551(111/111)	香港馬會 0.002501(61/61)	太平洋百貨 0.002009(50/50)	一段時間 0.001968(48/334)	回台 0.001845(44/202)	作業系統 0.001763(42/167)	吳縣長 0.001681(37/110)	龍王鯛 0.001681(41/41)	計程車業者 0.00164(40/40)	
監督條例 0.016063(528/689)	兩岸協議 0.014139(468/581)	協議監督 0.012124(388/503)	服貿協議 0.010169(327/822)	召開臨時會 0.004276(142/187)	自由貿易 0.004092(141/474)	馬政府 0.003726(116/612)	自由經濟 0.003634(123/770)	經濟示範區 0.003512(117/708)	台灣經濟 0.003482(106/728)	
觀光景點 0.00434(102/214)	觀光旅遊局 0.003858(78/200)	自行車道 0.003376(75/152)	環境教育 0.002587(62/160)	旅遊行程 0.002587(54/142)	年輕族群 0.002543(57/230)	大特色 0.002192(51/146)	網路投保 0.001798(39/78)	河野談話 0.00171(39/68)	政府官員 0.001666(41/142)	
教宗方濟 0.00745(190/190)	加密手機 0.004117(105/105)	天主教教宗 0.003059(78/78)	電視面板 0.002431(62/88)	綠竹筍 0.002274(57/88)	中國領空 0.002196(56/90)	飛越中國 0.001843(47/47)	教廷禮儀 0.001686(43/43)	天主教宗 0.001608(41/41)	保單貸款 0.001608(41/41)	
高雄氣爆 0.044153(2336/2368)	氣爆事件 0.02467(1307/1320)	高雄市政府 0.014314(744/1468)	氣爆意外 0.007574(400/402)	李長榮化工 0.006835(361/362)	2014年8月 0.006248(320/796)	石化氣爆 0.00587(310/310)	發生氣爆 0.005623(297/302)	高雄發生 0.005264(278/278)	氣爆傷亡 0.005188(274/274)	
靖國神社 0.005639(136/136)	巴西世界盃 0.00282(65/100)	專家表示 0.002364(65/118)	運分析 0.002156(52/52)	參拜靖國 0.002115(51/51)	昨天上午 0.00199(47/222)	幫助弱勢 0.0017(39/83)	神社參拜 0.0017(40/41)	小鴨 0.001617(38/68)	生產基地 0.001617(43/102)	
大陸股市 0.002934(73/100)	創歷史 0.002355(55/376)	中央公園 0.002273(53/200)	衛星導航 0.002066(49/53)	北斗衛星 0.001942(47/47)	政府打房 0.00186(45/91)	傳統產業 0.001777(46/132)	基礎建設 0.001777(42/262)	專家認為 0.001736(41/152)	宣導活動 0.001653(39/112)	
創下歷史 0.005133(131/248)	金融市場 0.004353(110/199)	工業電腦 0.004107(101/143)	年成長 0.003285(74/157)	星展銀行 0.002669(66/71)	漢翔公司 0.002423(59/68)	海水浴場 0.002177(53/68)	台南市政府 0.002054(55/206)	高收益債 0.00193(47/144)	2014年2月 0.001766(45/128)	
調查報告 0.005154(125/242)	主辦單位 0.004358(101/532)	營養午餐 0.003855(94/158)	全國電子 0.00264(63/135)	營收新台幣 0.002598(66/173)	成交張數 0.002598(59/66)	今年1月 0.002514(58/236)	加權指數 0.002514(60/219)	指數今天 0.002472(57/63)	漲跌幅 0.002388(57/59)	
基隆市長 0.022802(789/789)	參選基隆 0.006503(225/225)	國民黨提名 0.006387(222/266)	議長黃景泰 0.005087(176/384)	黨中央 0.0037(122/490)	郝龍斌 0.003642(129/1432)	基隆市議會 0.003613(123/147)	產業發展 0.003526(124/754)	諮詢委員 0.003526(123/144)	市長選舉 0.003411(122/299)	
恆春半島 0.006956(157/274)	服務品質 0.005663(132/268)	減量 0.00272(50/112)	整合行銷 0.00272(59/80)	生態保育 0.002096(47/138)	台新銀 0.001918(43/72)	中古公寓 0.001695(38/38)	博士學位 0.001606(34/50)	基因改造 0.001516(33/46)	特別邀請 0.001516(31/122)	
石化專區 0.01769(522/522)	石化管線 0.011183(340/528)	石化產業 0.010573(306/321)	共同管道 0.004169(123/125)	高雄石化 0.002847(81/152)	遷村 0.002677(77/118)	中國政府 0.00261(77/282)	管線安全 0.002406(73/94)	石化業者 0.002305(67/100)	報導稱 0.002135(65/160)	
媒體報導 0.0243(587/830)	今天表示 0.011426(271/1074)	台灣高鐵 0.005512(137/252)	自由貿易 0.005432(137/474)	高鐵公司 0.003983(97/168)	人士指出 0.003702(84/370)	恢復正常 0.003661(89/236)	昨天上午 0.003219(79/222)	公司表示 0.002937(70/290)	達成協議 0.002575(66/162)	
社會住宅 0.019651(501/792)	高房價 0.003346(78/164)	國防部長嚴明 0.003231(86/141)	就業機會 0.002538(62/432)	內政部長陳威仁 0.0025(63/144)	沒有人 0.002423(64/320)	都市更新 0.002308(58/342)	大考中心 0.002308(60/60)	社會福利 0.002039(51/286)	容積獎勵 0.002(49/96)	
新興市場 0.017804(440/942)	創新高 0.010174(252/652)	實價課稅 0.005289(130/390)	7月營收 0.004159(102/251)	外貿協會 0.003634(87/230)	產能利用率 0.003351(82/194)	農曆七月 0.003149(79/127)	合作備忘錄 0.003109(76/178)	悠遊卡公司 0.002948(72/136)	搶市 0.002705(60/151)	
縣長劉政鴻 0.002652(64/92)	客家文化 0.002528(58/254)	七月一日 0.002362(56/110)	苗栗縣長 0.002321(48/108)	江西省委 0.001948(45/55)	赴美 0.001865(44/100)	大挑戰 0.001782(41/120)	咖啡鏽 0.00174(42/42)	咖啡農 0.001699(41/41)	高市府 0.001658(40/336)	
中心主任 0.00699(166/414)	者家屬 0.006473(152/258)	民進黨立委 0.005221(127/734)	8月7日 0.005221(119/280)	受害者 0.00466(106/176)	黨中央 0.003452(85/490)	鹿港天后宮 0.003193(75/104)	資料顯示 0.003064(65/536)	沒有人 0.002805(58/320)	下午4時 0.002719(62/536)	
公民團體 0.005086(117/274)	立法院臨時會 0.004555(100/301)	今年4月 0.003759(93/366)	8月2日 0.002786(74/244)	抗議民眾 0.002565(56/124)	資本市場 0.002521(58/343)	投資標的 0.002521(54/135)	協助企業 0.00199(45/72)	7月21日 0.001858(40/98)	消費性電子 0.001769(39/104)	
再生能源 0.006608(166/444)	宏達電 0.005546(136/211)	國泰世華 0.003501(88/193)	沒人 0.002754(64/364)	綠色電價 0.00236(60/60)	基隆市政府 0.002203(57/125)	台灣再生 0.002203(56/56)	環境保護 0.002006(51/274)	主計總處 0.001888(49/372)	壽險業者 0.001888(48/83)	
網路簡訊 0.006105(146/146)	購票 0.004266(101/238)	晶英酒店 0.002969(70/81)	7月14日 0.002175(49/140)	新聞專輯 0.002133(53/388)	百威世足 0.001924(46/46)	電話號碼 0.001798(45/90)	建議民眾 0.001548(35/102)	台南晶英 0.001548(31/61)	音樂大賞 0.001506(36/50)	
翠玉白菜 0.013354(345/346)	故宮博物院 0.012232(316/316)	國立故宮 0.010993(285/285)	國立博物館 0.007239(187/187)	今天下午 0.006929(172/406)	神品至寶展 0.005768(149/149)	桃園縣政府 0.00569(143/354)	赴日 0.005071(133/218)	發表聲明 0.004723(140/404)	電子報2014年 0.002903(81/226)	
台北市長參選人 0.029285(1275/1282)	參選人連勝文 0.016787(728/728)	國民黨台北市長 0.013006(564/564)	參選人柯文哲 0.008371(364/540)	柯文哲說 0.007241(309/334)	在野整合 0.006664(287/294)	黨中央 0.005396(232/490)	在野大聯盟 0.004797(209/211)	競選總幹事 0.004335(186/188)	競選總部 0.003943(173/358)	
2014年7月 0.01834(411/760)	為例 0.011065(252/836)	馬政府 0.009889(226/612)	成交金額 0.0088(205/456)	上市公司 0.006709(156/260)	證券交易所 0.004139(93/152)	作戰區 0.00379(84/126)	區域經濟 0.003616(85/394)	證交所表示 0.003224(76/95)	集中市場 0.00305(71/106)	
中華電信 0.03034(832/1046)	無人 0.007267(192/540)	活動期間 0.006613(182/322)	集團旗下 0.00585(163/382)	近年來 0.005269(143/320)	金融機構 0.005015(139/352)	科技公司 0.004833(131/262)	公司董事長 0.004615(121/320)	元大寶來 0.00367(100/260)	今年4月 0.003561(91/366)	
新產品 0.009715(231/521)	副總統吳敦義 0.007348(181/356)	財團法人 0.006817(170/290)	中獎號碼 0.005592(143/187)	立法院長王金平 0.004735(120/308)	管理委員會 0.004531(113/188)	成為全球 0.004531(113/246)	監督管理 0.004082(102/108)	國民黨主席 0.003633(97/218)	台灣省政府 0.003633(89/102)	
今天表示 0.012957(340/1074)	太陽花 0.009137(238/416)	花學運 0.008546(220/382)	營收達 0.003939(100/239)	商業營業額 0.003624(92/99)	陸軍司令部 0.003466(85/130)	農曆7月 0.003269(81/136)	募款晚會 0.002954(75/75)	創歷年 0.002678(69/158)	月正成長 0.002678(70/95)	
大陸國家 0.006291(155/634)	國家公園 0.005615(133/484)	觀光工廠 0.005109(120/174)	系列活動 0.004813(106/226)	分離主義 0.004306(101/179)	國家主席 0.004264(100/624)	自由行 0.003504(82/186)	上午9時 0.003462(88/246)	台灣彩券 0.003124(75/101)	永慶房產 0.002576(61/65)	
氣候變遷 0.009827(243/360)	生物多樣性 0.006298(157/248)	成為台灣 0.003129(81/226)	庇護工場 0.002928(75/96)	生態旅遊 0.002447(62/117)	觸控面板 0.002206(53/111)	舉行記者會 0.001966(48/308)	溫室氣體 0.001926(49/82)	國際機場 0.001765(43/308)	台灣國際 0.001765(45/200)	
台北股市 0.007014(169/355)	股市今天 0.005603(126/247)	觀光旅遊 0.005004(110/342)	台股今天 0.004277(103/146)	月台指 0.003336(78/78)	今天終場 0.003336(78/78)	7月7日 0.003251(74/170)	兩岸觀光 0.002994(66/76)	現貨相較 0.002951(69/86)	終場上漲 0.002909(70/110)	
彰化縣長 0.00507(122/174)	小股東 0.003215(72/202)	精品業者 0.00272(66/66)	知名品牌 0.002597(62/110)	縣長卓伯源 0.002473(58/134)	徵才活動 0.002226(52/124)	實體店面 0.002185(50/70)	電動機車 0.002144(52/80)	慈善基金會 0.00202(47/255)	南山人壽 0.001855(46/126)	
信義房屋 0.005748(146/151)	官員說 0.004876(122/324)	投資公司 0.004202(102/142)	房仲業者 0.003608(93/216)	金額為 0.003409(84/182)	不動產企研室 0.003251(83/86)	都市更新 0.002973(70/342)	主任徐佳馨 0.002934(76/81)	專案經理 0.002894(70/102)	自用住宅 0.002775(73/167)	
解決方案 0.007872(201/466)	市場需求 0.007191(158/440)	營收為 0.006127(140/321)	國際市場 0.005489(128/254)	綠建築 0.004936(117/196)	今年3月 0.00434(102/370)	季營運 0.004(94/237)	業績成長 0.00366(93/230)	營收可望 0.003489(79/209)	小跌 0.003319(76/180)	
新藥 0.017077(449/454)	大陸市場 0.011055(271/674)	國道收費員 0.005833(154/164)	交通部長葉匡時 0.005489(139/184)	臨床試驗 0.003736(97/122)	收費員自救會 0.003507(92/92)	市場規模 0.003164(80/170)	公司治理 0.002669(65/131)	遠通公司 0.002402(63/90)	找工作 0.002326(57/128)	
消費滿 0.005217(136/248)	開賣 0.003425(88/207)	國家主席 0.003066(76/624)	預計今年 0.002708(63/280)	國際關係 0.002151(54/108)	藍色公路 0.002071(53/84)	大品牌 0.001952(51/125)	舉行會談 0.001792(52/117)	停車格 0.001713(38/86)	大潤發 0.001633(41/59)	
家扶中心 0.014181(339/353)	壽險公司 0.005706(139/273)	服務中心 0.005412(133/326)	人士指出 0.004993(125/370)	普悠瑪號 0.00407(100/286)	弱勢團體 0.003692(92/140)	海外投資 0.003399(82/167)	到台東 0.003147(76/192)	知情人士 0.003063(68/176)	人民幣匯率 0.002727(62/75)	
台灣經濟 0.011766(276/728)	行動裝置 0.008262(186/422)	上午10時 0.006748(162/340)	科技大學 0.005451(127/370)	量身 0.005234(120/180)	美國國防部 0.004066(91/166)	行動通訊 0.003634(80/148)	上午8時 0.003115(68/282)	就業市場 0.002812(67/150)	惠明盲校 0.002682(61/86)	
身分認證 0.002034(50/57)	開賣 0.001953(47/207)	聯亞光電 0.001912(47/50)	打造出 0.001831(45/188)	發行機構 0.001709(42/45)	政務副主委 0.001587(39/49)	公民組合 0.001343(33/33)	喜歡吃 0.001302(32/46)	電子票證 0.001302(29/164)	芒果冰 0.001221(27/79)	
美國總統 0.006065(192/462)	總統歐巴馬 0.005652(177/400)	好戰分子 0.00489(153/165)	美國官員 0.002921(96/136)	安全部隊 0.002826(89/89)	江院長 0.002699(87/166)	好戰份子 0.002413(76/80)	聖戰士 0.002318(74/111)	黎凡特伊斯蘭國 0.002064(65/70)	總理馬里奇 0.002032(64/64)	
認購權證 0.005375(131/240)	世足賽 0.003775(90/400)	法人認為 0.003652(88/206)	獲利了結 0.003323(77/142)	張志軍來 0.003282(80/268)	國泰證 0.002954(72/102)	維持穩定 0.002913(71/112)	島國前進 0.002913(73/155)	積極布局 0.002872(75/116)	沒有辦法 0.002667(64/244)	
數據顯示 0.006819(186/302)	國家公園 0.005596(142/484)	環保局表示 0.004114(114/154)	新低 0.003595(97/200)	開罰 0.003299(90/208)	中國經濟 0.002854(75/197)	污染防治 0.002817(77/94)	水污染 0.002743(74/90)	傳統旺季 0.002706(74/185)	勒令停工 0.002595(68/70)	
事件發生 0.002114(58/300)	月產能 0.002114(55/108)	台中銀 0.001527(39/54)	顧問公司 0.001488(39/124)	核四公投 0.001488(38/56)	發生爆炸 0.00141(36/40)	遊客中心 0.00141(35/137)	林先生 0.00137(31/38)	公投審議 0.001331(34/34)	宣布成立 0.001292(34/68)	
高架化 0.005017(131/131)	鐵路高架 0.003715(97/97)	救援小組 0.002298(60/60)	弱勢家庭 0.00203(50/316)	緊急救援 0.001992(55/72)	國道三號 0.001992(52/60)	動物緊急 0.001915(50/50)	台灣動物 0.001877(48/57)	淡海輕軌 0.001877(49/58)	連續假期 0.0018(44/82)	
兩岸關係 0.012695(386/1526)	經濟發展 0.009649(266/1042)	訪台 0.006162(174/858)	台灣民眾 0.005925(174/560)	台灣社會 0.005586(165/378)	張志軍訪 0.00474(146/370)	兩岸事務 0.004537(133/225)	兩岸經濟 0.004401(124/280)	陸委會副主委 0.004334(125/222)	張顯耀 0.003894(114/192)	
行政院長江 0.020483(562/728)	長江宜樺 0.019756(550/702)	房地合一 0.017359(478/478)	民進黨立委 0.012384(347/734)	實價課稅 0.009406(260/390)	江宜樺 0.008607(234/300)	今天表示 0.005956(177/1074)	合一實價 0.005411(149/149)	合一課稅 0.003051(83/131)	分離課稅 0.002833(78/78)	
國家風景區 0.005055(125/140)	風景區管理處 0.003587(91/110)	遊客中心 0.00318(76/137)	高雄捷運 0.002854(72/204)	財富管理 0.002813(66/218)	雲嘉南 0.002813(70/88)	8月9日 0.002772(70/94)	元大寶來 0.002731(72/260)	今年7月 0.002446(59/302)	單筆滿 0.002201(56/73)	
強陣風 0.006837(157/311)	2014年8月 0.006407(145/796)	觀光旅遊 0.005977(136/342)	觀光產業 0.003784(90/384)	海峽兩岸 0.003526(79/350)	醫療器材 0.002709(63/212)	參加者 0.002494(58/90)	旅遊市場 0.002193(53/116)	台北舉行 0.002064(50/60)	施工單位 0.002064(54/120)	
新聞專輯 0.005486(130/388)	貿易協定 0.004136(99/328)	飛彈擊落 0.003701(85/198)	行動代號 0.002569(58/89)	重大傷亡 0.002482(57/124)	示範樂隊 0.002438(56/56)	研究機構 0.002351(55/138)	大陸投資 0.001916(43/123)	世界貿易 0.001872(41/110)	貧富差距 0.001872(43/128)	
台中航空站 0.002111(51/51)	手機面板 0.002111(51/54)	市府團隊 0.001904(48/170)	南投縣政府 0.001862(42/132)	公共運輸 0.001738(40/190)	總統候選人 0.001697(46/112)	台灣政府 0.001655(39/114)	羅許基金會 0.001614(40/46)	賴市長 0.00149(37/120)	服務品質 0.001407(33/268)	
主辦單位 0.010736(275/532)	台北市立 0.003802(93/114)	吳副總統 0.002548(59/82)	立動物園 0.002507(60/60)	南投縣長 0.00234(56/60)	台北市政府 0.002131(56/372)	合一選舉 0.002131(51/172)	回應表示 0.002005(52/146)	民眾認為 0.001671(36/138)	社群網站 0.001629(44/128)	
月餅禮盒 0.005934(149/162)	蛋黃酥 0.00437(106/117)	國泰世華 0.003007(72/193)	台北車站 0.002967(70/132)	公告現值 0.002927(68/142)	機械手臂 0.002646(66/100)	報導說 0.002486(56/262)	資助人 0.002165(54/54)	加油打氣 0.002005(53/192)	經濟部長張家祝 0.001965(47/318)	
高收益 0.016331(485/485)	新興市場 0.013267(386/942)	收益債 0.011079(329/329)	債券基金 0.00495(147/147)	為例 0.004815(139/836)	投資組合 0.004277(127/156)	收益債券 0.004243(126/126)	組合基金 0.003704(111/173)	市場債券 0.003469(103/103)	市場債 0.002964(88/88)	
麥德姆颱風 0.006563(169/322)	上班上課 0.00514(131/146)	美國國務卿 0.004824(121/250)	國務卿凱瑞 0.004033(100/226)	無人 0.003875(104/540)	颱風天 0.003203(82/98)	外銷訂單 0.002649(65/118)	班停課 0.002452(62/68)	停班 0.002175(56/86)	颱風假 0.002135(54/54)	
自然生態 0.002378(62/138)	榮譽主席 0.002336(58/76)	信義計畫區 0.002253(53/85)	國民黨榮譽 0.002253(59/102)	集團旗下 0.002211(41/382)	高雄氣爆事件 0.002128(52/78)	專業投資人 0.002128(51/54)	生態園區 0.002003(46/76)	畢業證書 0.001669(42/78)	親水公園 0.001669(41/59)	
12年國教 0.010068(333/404)	免試入學 0.008265(275/275)	十二年國教 0.008174(278/352)	政治人物 0.006311(197/498)	民進黨主席 0.00592(197/598)	參選人柯文哲 0.005289(176/540)	特色招生 0.005019(167/167)	同業公會 0.004688(152/274)	經濟發展 0.004358(143/1042)	商業同業 0.003576(123/190)	
經濟復甦 0.003817(94/222)	集團旗下 0.002755(71/382)	空品淨化區 0.002755(70/70)	公共自行車 0.002716(70/100)	景氣復甦 0.002676(71/178)	高收益債 0.002322(59/144)	來自台灣 0.002283(57/136)	統計資料 0.001929(51/160)	喝酒 0.00185(46/156)	今年6月 0.001771(44/328)	
彭博報導 0.013506(377/394)	人力銀行 0.010982(307/324)	工作機會 0.009454(270/320)	今天公布 0.007144(197/262)	勞動部 0.006966(200/460)	調查顯示 0.005865(170/290)	今年6月 0.005438(158/328)	社會新鮮人 0.004976(142/144)	洽詢電話 0.004692(134/302)	大陸地區 0.003839(103/226)	
新聞相關 0.105604(2671/2914)	相關影音 0.102173(2591/2756)	國民黨立委 0.012461(320/486)	縣長吳志揚 0.009938(251/374)	桃園機場 0.008005(205/370)	副縣長 0.00769(202/562)	桃園縣長 0.007138(182/240)	召開記者會 0.005876(137/822)	受訪表示 0.005679(142/302)	年底選舉 0.005008(117/272)	
復興航空 0.015084(489/668)	鐵路電氣化 0.009524(310/310)	花東鐵路 0.009032(294/294)	普悠瑪號 0.005807(186/286)	暑假期間 0.003902(130/302)	觀光產業 0.003595(117/384)	普悠瑪列車 0.003533(115/115)	馬公機場 0.003318(108/108)	罹難者 0.003195(103/784)	澎湖空難 0.002796(97/226)	
弱勢族群 0.00453(109/240)	產險公司 0.002629(66/76)	繼續努力 0.002386(62/122)	合作協定 0.002225(53/126)	銀髮俱樂部 0.002225(56/56)	金融海嘯 0.002184(58/272)	永續經營 0.002103(50/140)	金融業務 0.001861(49/99)	市民活動中心 0.001861(46/51)	嘉義市長 0.00182(44/106)	
中國大陸 0.141493(3943/4584)	國家主席 0.008406(242/624)	美國總統 0.007903(220/462)	大陸國家 0.007113(194/634)	總統歐巴馬 0.006789(185/400)	中國國民黨 0.005891(164/416)	大陸國務院 0.005712(161/322)	受訪者 0.00546(149/294)	服務貿易 0.00449(124/313)	競爭對手 0.004095(111/326)	
企業社會 0.00472(113/220)	6月30日 0.00404(100/252)	社會福利 0.003615(80/286)	勞動部 0.003572(85/460)	海外說明會 0.002552(60/60)	社會責任 0.002509(55/338)	行政機關 0.002296(54/106)	遠通電收 0.001914(45/128)	經營者 0.001871(47/110)	行政院長江 0.001829(41/728)	
合併營收 0.00627(194/1277)	季業績 0.005099(148/315)	7月營收 0.00379(111/251)	法人表示 0.003411(96/447)	營收新台幣 0.002825(74/173)	7月合併 0.002791(81/102)	訂單能見度 0.002446(70/128)	歸屬母公司 0.002446(71/74)	年增 0.002274(79/694)	自結合併 0.002205(61/88)	
通訊軟體 0.00552(133/188)	旺旺集團 0.00282(68/82)	黃色小鴨 0.002185(56/67)	美國國務卿 0.002145(56/250)	抽獎活動 0.002105(58/122)	談判代表 0.002105(55/81)	國務卿凱瑞 0.002026(53/226)	機會獲得 0.002026(53/120)	中國國家 0.001986(43/206)	台股指數 0.001986(50/129)	
物價指數 0.01092(242/292)	消費者物價 0.008366(185/226)	5月營收 0.007882(182/311)	新高紀錄 0.005769(129/370)	6月營收 0.00502(111/319)	工資審議 0.003435(87/188)	現金股息 0.003171(70/158)	法說 0.002995(67/166)	生物多樣性 0.002995(68/248)	供民眾 0.002907(65/188)	
國際油價 0.008549(207/207)	中油公司 0.007055(167/212)	無鉛汽油 0.006142(148/148)	雲端服務 0.003735(87/176)	浮動油價 0.003486(84/84)	國內油價 0.003403(82/82)	超級柴油 0.003237(78/78)	桶裝瓦斯 0.003071(76/84)	柴油價格 0.002988(72/72)	凌晨零時 0.002781(67/70)	
台灣大 0.007697(188/214)	中華電信 0.006765(170/1046)	台灣大哥大 0.004456(112/198)	電信業者 0.003889(99/284)	國會議員 0.003565(96/236)	亞太電信 0.003525(97/223)	大台北地區 0.003241(77/176)	遠傳電信 0.003079(78/182)	回應說 0.002471(56/144)	董事長徐旭東 0.002269(56/72)	
中共中央 0.009974(242/272)	8月20日 0.004032(90/200)	氣爆區救災 0.003657(87/189)	中央政治局 0.003616(87/96)	7日週四 0.003491(75/193)	中央軍委 0.003491(85/126)	台北捷運 0.00345(82/288)	阻斷氣爆區 0.003242(85/189)	大雨阻斷 0.003242(76/189)	捷運公司 0.002411(61/218)	
夥伴關係 0.003957(97/193)	經濟部長張家祝 0.003796(90/318)	美國國務院 0.003554(84/132)	租賃公司 0.003029(75/79)	交通工具 0.002948(71/144)	電動巴士 0.002827(70/72)	亞太地區 0.002706(68/222)	專業人士 0.002625(62/132)	外籍勞工 0.001858(44/200)	指揮中心 0.001817(46/154)	
