臉書 0.015006(537/1060)	台北市長參選人 0.012923(452/1282)	解決方案 0.00473(163/466)	公益活動 0.004223(146/340)	國際市場 0.00321(118/254)	近年來 0.003013(110/320)	季營運 0.002534(86/237)	食品安全 0.002253(76/168)	教育訓練 0.002253(80/118)	未來發展 0.001999(64/246)	
成交金額 0.005555(200/456)	上市公司 0.004091(143/260)	感染者 0.002681(99/150)	相關問題 0.002377(87/116)	證券交易所 0.002349(86/152)	證交所表示 0.002128(76/95)	醫護人員 0.002128(77/156)	文教基金會 0.002045(72/284)	集團董事長 0.00199(78/472)	集中市場 0.00188(66/106)	
彭博報導 0.009476(394/394)	冰桶挑戰 0.007648(318/318)	今天公布 0.003608(145/262)	化學物質 0.003151(131/152)	凍人協會 0.003055(127/148)	發言人孫立群 0.002646(112/262)	行政院發言人 0.002405(100/224)	國內生產 0.002285(90/146)	青年顧問團 0.002285(95/95)	接受挑戰 0.002261(94/132)	
協會理事長 0.005246(212/388)	特任副主委 0.001977(81/81)	管理系統 0.001928(78/142)	穩定成長 0.001855(74/200)	來台 0.00183(76/2678)	移送調查局 0.001733(71/71)	全球市場 0.001708(70/174)	工作疑點 0.001635(67/67)	副主委張顯耀 0.001611(67/149)	大品牌 0.001537(63/125)	
受歡迎 0.002567(85/242)	高美濕地 0.001877(69/114)	醫師表示 0.001794(60/98)	特別推出 0.001629(62/133)	7月合併 0.001491(52/102)	安全防護 0.001242(47/102)	四中全會 0.001242(45/49)	訂單能見度 0.001215(41/128)	慈禧太后 0.001215(44/44)	加護病房 0.001077(41/80)	
行動裝置 0.007303(282/422)	公路總局 0.004451(168/324)	都市計畫 0.004132(156/444)	開發商 0.002799(104/186)	僑教中心 0.002799(106/111)	應用程式 0.002239(81/186)	行動通訊 0.001733(69/148)	科技大學 0.001706(55/370)	就業市場 0.001653(62/150)	大企業 0.001386(47/174)	
國是會議 0.01204(463/468)	經貿國是 0.011286(434/440)	發展協會 0.005071(200/250)	中央社翻譯 0.004759(185/318)	新北市政府 0.004187(150/470)	抽獎活動 0.002133(83/122)	社區發展 0.002055(72/104)	外貿協會 0.002029(82/230)	選舉委員會 0.001846(74/140)	新車 0.00182(73/358)	
達志影像 0.011904(420/828)	附加價值 0.002354(88/214)	7月1日 0.002272(82/602)	新聞2013年 0.002272(80/140)	週日台北 0.002217(84/370)	社會新鮮人 0.001998(76/144)	新聞相關片 0.001834(73/162)	摩根大通 0.001779(64/105)	訂票 0.001724(63/104)	大陸網友 0.001642(60/92)	
高雄市政府 0.016629(655/1468)	國家安全 0.004138(158/422)	觀光產業 0.003707(155/384)	變形金剛 0.00358(143/182)	交通局長 0.003554(142/251)	暑假期間 0.003428(143/302)	台灣高鐵 0.003199(130/252)	相關單位 0.003047(119/708)	公車路線 0.002539(102/200)	高架化 0.00226(88/131)	
參選人連勝文 0.013346(657/728)	國民黨台北市長 0.010409(509/564)	台北市長參選人 0.007675(380/1282)	縣長參選人 0.00484(238/253)	在野整合 0.004212(204/294)	經濟發展 0.003868(191/1042)	台灣人民 0.003504(171/464)	競選總部 0.003342(163/358)	民主法治 0.002613(132/149)	總統說 0.002552(123/350)	
相關影音 0.035081(1886/2756)	新聞相關 0.034875(1862/2914)	經濟發展 0.008116(449/1042)	區域經濟 0.007013(374/394)	貿易協定 0.005891(317/328)	國民黨立委 0.005311(286/486)	經濟整合 0.00518(280/303)	服貿協議 0.004899(263/822)	夥伴協定 0.004806(257/257)	自由貿易 0.004656(244/474)	
台灣經濟 0.011264(426/728)	教宗方濟 0.005048(190/190)	發言人陳以信 0.003507(128/285)	縣長選舉 0.002471(92/106)	中國領空 0.002391(90/90)	記者會表示 0.002365(89/210)	開除黨籍 0.002285(88/109)	外籍勞工 0.002258(87/200)	天主教教宗 0.002072(78/78)	登記參選 0.001993(76/77)	
今年4月 0.003667(144/366)	分離主義 0.002604(98/179)	客家文化 0.001595(63/254)	作業系統 0.001568(57/167)	呼籲政府 0.001462(55/144)	媒體訪問 0.001409(54/222)	人民銀行 0.001382(52/139)	公益活動 0.001355(54/340)	董氏基金會 0.001355(48/92)	電信服務 0.001116(42/72)	
公路總局 0.003225(127/324)	國泰世華 0.003019(114/193)	模範父親 0.002812(109/121)	相關訊息 0.002374(95/178)	大陸地區 0.002348(94/226)	飯店業者 0.001651(58/130)	永豐銀行 0.001626(61/127)	工務段 0.001574(60/61)	金城武 0.001471(54/102)	世華銀行 0.001419(55/93)	
地方政府 0.016108(638/1190)	弱勢家庭 0.004925(196/316)	活動期間 0.0048(191/322)	中油公司 0.004121(163/212)	無鉛汽油 0.003719(148/148)	國際油價 0.003192(129/207)	南韓總統 0.002689(105/186)	融資餘額 0.002689(106/114)	7月1日 0.002664(102/602)	總統朴槿惠 0.002186(89/228)	
環保局表示 0.003781(152/154)	台北股市 0.003756(149/355)	海峽兩岸 0.003706(143/350)	考試委員 0.00286(114/247)	股市今天 0.002786(113/247)	台股今天 0.002288(93/146)	開罰 0.002164(87/208)	污染防治 0.001965(79/94)	空氣品質 0.00194(80/186)	月台指 0.00194(78/78)	
基金經理人 0.011135(749/824)	經濟成長 0.005351(348/864)	貨幣政策 0.004947(330/346)	103年7月 0.004902(336/586)	重大新聞 0.004738(318/332)	推播通知 0.004708(317/332)	快下載 0.004708(317/330)	通知快 0.004693(313/330)	資料顯示 0.003468(224/536)	指數上漲 0.003423(235/293)	
中華電信 0.019421(712/1046)	公司董事長 0.004828(174/320)	審議委員會 0.004286(158/290)	金融機構 0.004259(146/352)	集團旗下 0.004042(152/382)	科技公司 0.003554(128/262)	元大寶來 0.002794(100/260)	公司總經理 0.002062(74/228)	業者表示 0.001899(64/346)	統一集團 0.001682(62/103)	
同業公會 0.003601(133/274)	經濟復甦 0.002757(97/222)	達志2014年 0.002476(88/258)	高盛證券 0.001998(71/86)	宏達電 0.00197(72/211)	景氣復甦 0.001913(71/178)	商業同業 0.001857(63/190)	高收益債 0.001632(59/144)	去年10月 0.001519(46/148)	詐騙集團 0.001435(49/76)	
監督條例 0.009348(356/689)	兩岸協議 0.007933(297/581)	協議監督 0.006918(264/503)	新竹米粉 0.002911(109/109)	新規定 0.002751(107/126)	經濟合作 0.002511(95/480)	召開臨時會 0.002404(93/187)	馬政府 0.002137(82/612)	租賃公司 0.001977(74/79)	爭取連任 0.001897(73/196)	
自由經濟 0.013225(518/770)	經濟示範區 0.012027(477/708)	基隆市長 0.008078(314/789)	特別條例 0.005249(204/392)	壽險公司 0.004714(189/273)	示範區特別 0.004383(172/296)	國民黨提名 0.00293(108/266)	人士指出 0.002778(111/370)	8月1日 0.002523(91/438)	企業社會 0.002523(98/220)	
相關單位 0.008659(318/708)	當地居民 0.007102(273/356)	8月20日 0.003485(128/200)	公共自行車 0.00235(87/100)	8月15日 0.00235(95/216)	出問題 0.00198(77/162)	公共工程 0.001452(55/146)	8月23日 0.001426(55/72)	永續經營 0.001399(49/140)	搖滾音樂 0.001347(51/59)	
合併營收 0.017681(1257/1277)	年增 0.005426(390/694)	季營收 0.005132(369/943)	季合併 0.004781(341/341)	歷史新高 0.004375(304/928)	營收達 0.003351(239/239)	認購權證 0.003323(237/240)	現金股利 0.003267(230/282)	季成長 0.003001(212/430)	5月營收 0.002804(204/311)	
季營收 0.014597(547/943)	2014年7月 0.01152(449/760)	法人預估 0.006102(230/342)	季成長 0.005155(198/430)	資本支出 0.004629(176/305)	創歷史 0.003998(161/376)	奈米製程 0.00384(148/178)	網路簡訊 0.00384(146/146)	單季新高 0.002867(103/154)	晶圓代工 0.002525(91/127)	
2014年8月 0.008269(316/796)	8月7日 0.004161(155/280)	大雨阻斷 0.003468(127/189)	阻斷氣爆區 0.003441(127/189)	7日週四 0.003414(120/193)	氣爆區救災 0.003201(122/189)	上午6時 0.002854(101/624)	8月21日 0.002534(96/134)	固態硬碟 0.002401(87/133)	週三台北 0.002214(82/610)	
沒人 0.004776(212/364)	器官捐贈 0.00316(131/131)	恢復正常 0.002798(121/236)	台灣高鐵 0.00275(111/252)	高鐵公司 0.002509(103/168)	解決問題 0.002099(86/356)	日常生活 0.002026(82/178)	世足賽 0.001906(86/400)	森林遊樂區 0.001761(75/113)	發生嚴重 0.001689(71/162)	
中央氣象局 0.011188(604/604)	短暫陣雨 0.010595(572/572)	提醒民眾 0.007428(397/426)	氣象局表示 0.007317(395/395)	午後雷陣雨 0.006205(335/335)	補充水分 0.005742(310/310)	太平洋高壓 0.005705(308/308)	瞬間大雨 0.004983(269/269)	外圍環流 0.004983(269/269)	熱帶性低氣壓 0.004946(267/267)	
官員表示 0.005035(230/444)	好戰分子 0.003793(165/165)	資本市場 0.003104(134/343)	保險公司 0.003058(127/406)	國家公園 0.002828(121/484)	櫃買中心 0.002115(93/209)	系列活動 0.002069(89/226)	競選連任 0.002069(94/182)	安全部隊 0.002046(89/89)	觀光景點 0.002(85/214)	
高速公路 0.005846(227/264)	人力銀行 0.004146(162/324)	調查顯示 0.002807(116/290)	集會遊行 0.002653(103/103)	預估值 0.002163(82/183)	專案小組 0.002009(81/266)	人力需求 0.001932(79/112)	基隆市政府 0.001674(66/125)	快速道路 0.001545(59/158)	開發單位 0.00152(63/122)	
政治人物 0.006002(220/498)	民進黨主席 0.005391(209/598)	參選人柯文哲 0.004515(169/540)	台灣觀光 0.004435(172/266)	彰化縣政府 0.003983(146/220)	交通部觀光局 0.003771(144/300)	服務品質 0.003267(118/268)	商業同業 0.002709(104/190)	大飯店 0.002603(92/448)	產業園區 0.002417(88/180)	
翠玉白菜 0.007425(346/346)	故宮博物院 0.006739(314/316)	國立故宮 0.006073(283/285)	國立博物館 0.004013(187/187)	發表聲明 0.003541(165/404)	消息人士 0.003262(146/378)	神品至寶展 0.003198(149/149)	馬來西亞航空 0.002854(133/146)	赴日 0.00279(132/218)	飛彈擊落 0.002468(114/198)	
再生能源 0.010907(430/444)	歷史新高 0.008136(332/928)	馬英九總統 0.006967(280/714)	人受傷 0.00567(227/330)	今天上午 0.004628(186/430)	無人 0.004272(177/540)	國道收費員 0.003941(154/164)	交通部長葉匡時 0.003433(135/184)	購物中心 0.003153(118/358)	島國前進 0.00267(108/155)	
市長胡志強 0.009865(440/654)	台中市長 0.008867(398/622)	大台中 0.004611(210/218)	快捷巴士 0.004234(189/202)	競選總部 0.004057(185/358)	台灣大道 0.003902(178/246)	胡市長 0.003458(156/161)	強陣風 0.003436(156/311)	參選人林佳龍 0.003259(147/147)	搭車 0.002904(132/292)	
台灣大哥大 0.004832(189/198)	中華電信 0.003949(145/1046)	遠傳電信 0.002702(105/182)	雲端運算 0.00226(91/194)	防空飛彈 0.00226(86/115)	電信業者 0.002052(70/284)	行動上網 0.001741(67/143)	台灣大 0.001689(62/214)	官方網站 0.001533(60/130)	提供消費者 0.001481(57/98)	
台塑集團 0.005911(221/292)	歷史新高 0.00434(163/928)	河靜鋼鐵 0.003408(128/128)	美國經濟 0.003222(117/216)	資本市場 0.003168(117/343)	求職者 0.003142(121/264)	工作人員 0.001784(71/512)	投資股票 0.001731(65/85)	美國聯邦 0.001677(60/144)	新高紀錄 0.001624(63/370)	
經濟成長 0.007417(342/864)	十二年國教 0.00733(332/352)	12年國教 0.007308(337/404)	免試入學 0.005982(275/275)	大陸經濟 0.004329(202/492)	經濟成長率 0.003894(187/416)	特色招生 0.003633(167/167)	全球經濟 0.002828(125/366)	基北區 0.002328(107/107)	志願序 0.002219(102/129)	
高雄氣爆 0.030469(2365/2368)	氣爆事件 0.016967(1319/1320)	高雄市政府 0.010178(791/1468)	石化管線 0.006803(528/528)	石化專區 0.006725(522/522)	災害應變 0.004922(384/384)	李長榮化工 0.004664(362/362)	103年8月 0.0042(309/580)	2014年8月 0.004136(319/796)	石化氣爆 0.003994(310/310)	
新興市場 0.020241(884/942)	高收益 0.01108(485/485)	收益債 0.007516(329/329)	新產品 0.004821(202/521)	債券基金 0.003359(147/147)	資產配置 0.00329(144/152)	投資組合 0.00313(136/156)	為例 0.002924(122/836)	收益債券 0.002879(126/126)	組合基金 0.002719(119/173)	
呼籲民眾 0.003378(133/250)	台灣省政府 0.002306(86/102)	上海福喜 0.002279(85/85)	做公益 0.002252(83/262)	國際油價 0.002011(72/207)	北原礦業 0.001743(65/65)	新舞臺 0.001743(65/68)	食品公司 0.001716(65/82)	水源水質 0.001689(63/67)	南投縣政府 0.001555(59/132)	
大法人 0.005439(199/361)	今天下午 0.004065(151/406)	高市府 0.003791(136/336)	電信業者 0.002802(109/284)	股王大立光 0.002362(86/131)	飛彈擊落 0.00228(84/198)	農曆七月 0.002088(79/127)	人民幣匯率 0.001896(71/75)	停火協議 0.001841(70/110)	台灣大 0.001786(68/214)	
103年6月 0.010948(449/604)	勞動部 0.007371(312/460)	工作機會 0.005172(206/320)	洽詢電話 0.00319(135/302)	交換意見 0.003166(129/358)	送禮 0.003142(127/190)	七夕情人節 0.003142(134/184)	月餅禮盒 0.003021(129/162)	報告指出 0.0029(105/344)	大學畢業生 0.002755(112/130)	
智慧型手機 0.02022(911/1126)	平板電腦 0.012215(551/636)	市長參選人 0.005373(245/712)	智慧手機 0.004299(190/348)	手機市場 0.003948(180/192)	合作夥伴 0.003619(163/298)	供應鏈 0.003312(146/584)	穿戴式裝置 0.003114(142/198)	手機晶片 0.003114(140/178)	換機 0.002434(115/183)	
新北市 0.025353(1215/2388)	社會住宅 0.009111(452/792)	實價登錄 0.004391(212/248)	房仲業者 0.003504(172/216)	運動中心 0.003381(167/172)	都市更新 0.002927(147/342)	值得注意 0.002783(132/376)	雙北市 0.002721(129/148)	信義房屋 0.002721(131/151)	住商不動產 0.002577(125/125)	
新聞專輯 0.004999(194/388)	總統大選 0.003021(122/460)	國防部長嚴明 0.00237(90/141)	舉行總統 0.002161(83/83)	參賽者 0.002135(86/132)	生技產業 0.002031(80/216)	生物多樣性 0.001797(69/248)	選舉委員會 0.001797(66/140)	香港馬會 0.001589(61/61)	為基礎 0.001536(58/152)	
來台 0.03447(2212/2678)	兩岸關係 0.022784(1472/1526)	國台辦主任 0.015024(968/968)	主任張志軍 0.014806(954/954)	訪台 0.007403(483/858)	大陸國台辦 0.006984(450/628)	和平發展 0.00582(367/390)	台灣民眾 0.004408(276/560)	張志軍訪 0.003368(212/370)	關係和平 0.00329(212/212)	
達人 0.0072(328/414)	推薦新聞 0.004206(179/552)	經濟發展 0.003406(144/1042)	黃埔建軍 0.003383(148/148)	海軍陸戰隊 0.002971(131/172)	石化產業 0.002903(129/321)	一般民眾 0.002126(93/240)	人才招募 0.00208(89/197)	江院長 0.001943(88/166)	後備指揮部 0.001783(74/83)	
總統馬英九 0.015094(589/1040)	集體自衛權 0.005526(213/381)	氣爆意外 0.004375(167/402)	8月1日 0.004093(161/438)	中央公園 0.003428(138/200)	今年7月 0.003403(129/302)	電子產品 0.003147(121/234)	國民黨中常會 0.002968(116/204)	美日 0.002763(95/196)	中共海軍 0.002175(86/100)	
台北國際 0.006368(243/332)	生物科技 0.003381(128/170)	外貿協會 0.002961(107/230)	海外市場 0.002961(118/174)	中心主任 0.002332(95/414)	國際電腦展 0.002123(81/98)	醫療器材 0.002044(74/212)	南港展覽館 0.001992(77/97)	遊樂設施 0.00173(65/83)	美國聯 0.001651(61/117)	
民調顯示 0.003977(137/194)	受訪者 0.003691(129/294)	為例 0.003433(125/836)	女王頭 0.003147(110/110)	結果顯示 0.00309(112/192)	民調結果 0.002833(95/326)	新民調 0.002031(72/117)	民意調查 0.001831(67/108)	到台灣 0.001688(56/276)	業者說 0.001631(49/154)	
工作人員 0.003848(140/512)	消費滿 0.003447(136/248)	創下歷史 0.003394(130/248)	公共運輸 0.002886(107/190)	預計今年 0.002672(91/280)	文教基金會 0.002565(95/284)	工業電腦 0.002218(83/143)	年成長 0.001951(67/157)	醫療器材 0.001897(74/212)	董事長張忠謀 0.001897(66/134)	
中國大陸 0.057737(3854/4584)	國家主席 0.009325(613/624)	大陸國家 0.009234(602/634)	美國總統 0.005534(361/462)	總統歐巴馬 0.004518(294/400)	主席習 0.003381(232/484)	報導說 0.003169(206/262)	日本政府 0.002972(207/384)	大陸國務院 0.002851(181/322)	報導指出 0.002699(185/498)	
航空公司 0.015633(689/808)	復興航空 0.010954(491/668)	統一渡假村 0.004521(201/205)	長榮航空 0.003734(167/186)	鹿港文創 0.003577(159/159)	創會館 0.003397(151/151)	罹難者 0.002429(109/784)	澎湖空難 0.002205(95/226)	復興空難 0.001822(81/81)	馬公機場 0.001687(75/108)	
台北捷運 0.004364(171/288)	捷運公司 0.004314(172/218)	今天說 0.004263(177/628)	共同決定 0.002775(108/135)	中國政府 0.002624(105/282)	受害者 0.002498(101/176)	新產品 0.002321(91/521)	人民決定 0.002271(90/115)	國安會秘書長 0.002043(78/180)	下午4時 0.001816(59/536)	
舉行記者會 0.004365(167/308)	服務中心 0.003026(107/326)	共同管道 0.002357(89/125)	房祖名 0.001955(70/83)	庇護工場 0.001928(71/96)	台聯黨團 0.001821(69/151)	人力銀行 0.001768(68/324)	造成重大 0.001714(62/156)	積極推動 0.001714(65/410)	經濟成長率 0.001634(63/416)	
台北市長參選人 0.01038(450/1282)	參選人柯文哲 0.006616(294/540)	年增 0.006172(263/694)	醫師柯文哲 0.005307(221/264)	柯文哲說 0.004933(211/334)	台大醫師 0.004769(207/236)	為例 0.004652(195/836)	競選總幹事 0.004044(172/188)	中國國民黨 0.003857(162/416)	市場預期 0.003577(144/358)	
自由貿易 0.006092(222/474)	資源回收 0.004901(177/238)	今天表示 0.003378(122/1074)	大陸市場 0.003268(119/674)	觀光工廠 0.00324(116/174)	主席習 0.003157(110/484)	無人 0.002658(90/540)	競選團隊 0.002243(84/193)	環境保護 0.002105(76/274)	市場需求 0.001855(72/440)	
罹難者 0.011931(448/784)	科技大學 0.003421(132/370)	國會議員 0.003038(98/236)	開賣 0.002901(107/207)	台灣市場 0.002271(86/286)	功能障礙 0.00197(72/72)	議長黃景泰 0.001779(66/384)	國際金融 0.001642(61/165)	勃起功能 0.001587(58/58)	運分析 0.001423(52/52)	
台獨黨綱 0.011665(481/491)	主席蔡英文 0.011325(463/566)	高雄市長 0.009842(419/772)	服貿協議 0.009696(386/822)	支持者 0.008895(370/526)	市長賴清德 0.007364(298/388)	民進黨主席 0.007048(292/598)	台南市長 0.006513(268/298)	總統大選 0.006489(268/460)	公民團體 0.004885(199/274)	
今天說 0.005572(212/628)	原物料 0.002851(109/190)	吳副總統 0.002067(81/82)	國家發展 0.001753(71/208)	今年2月 0.0017(64/266)	新創公司 0.001648(65/84)	公共建設 0.001648(60/258)	夢時代 0.001517(58/70)	報告顯示 0.001491(50/150)	相關規定 0.001465(57/272)	
房地合一 0.010604(455/478)	實價課稅 0.008438(365/390)	主計總處 0.008046(347/372)	基本工資 0.007446(318/700)	推薦新聞 0.007031(308/552)	物價指數 0.006732(292/292)	董事長郭台銘 0.005348(232/256)	消費者物價 0.005164(225/226)	鴻海集團 0.004841(210/344)	工資審議 0.004334(188/188)	
馬政府 0.006334(235/612)	股價指數 0.005484(198/234)	市場需求 0.004826(176/440)	金額新台幣 0.003921(145/191)	社福團體 0.003894(137/218)	為例 0.003756(128/836)	資產管理 0.003345(127/216)	慈善基金會 0.003318(122/255)	今年3月 0.003071(115/370)	今年6月 0.002632(88/328)	
家扶中心 0.008389(310/353)	世界盃足球賽 0.002671(98/220)	電力公司 0.002293(85/152)	今年4月 0.00178(66/366)	業者說 0.001673(66/154)	弱勢家庭 0.001619(57/316)	台中市政府 0.001619(57/312)	財政收入 0.001538(57/59)	新北市府 0.001511(62/160)	控制系統 0.001484(59/95)	
新北市長 0.024902(1209/1236)	市長朱立倫 0.019922(971/1004)	新北市 0.014551(689/2388)	身心障礙 0.006956(337/520)	鐵路電氣化 0.00638(310/310)	召開記者會 0.006339(306/822)	市長陳菊 0.006154(302/884)	花東鐵路 0.006051(294/294)	普悠瑪號 0.005886(286/286)	副總統吳敦義 0.005742(290/356)	
世足賽 0.003851(143/400)	觀光旅遊 0.0032(127/342)	官員說 0.002914(114/324)	加油打氣 0.002498(95/192)	公司表示 0.002082(79/290)	8月1日 0.001561(60/438)	大賣場 0.001535(59/164)	美國市場 0.001405(54/133)	資助人 0.001405(54/54)	支付寶 0.001353(53/65)	
大飯店 0.004441(179/448)	都市計畫 0.003846(157/444)	陳震遠 0.003747(151/151)	日本政府 0.003126(112/384)	區段徵收 0.003077(124/170)	桃園航空城 0.002779(107/208)	陳震武 0.002754(111/111)	專案小組 0.002506(102/266)	航空城計畫 0.002506(102/114)	8月27日 0.00196(79/146)	
社會責任 0.005042(189/338)	難求 0.003058(111/218)	8月2日 0.002816(101/244)	半導體產業 0.002414(88/148)	水上樂園 0.001743(65/93)	報名參加 0.001502(59/224)	國泰世華 0.001502(59/193)	中華民國遠征軍 0.001448(54/54)	來台灣 0.001395(46/286)	勞工朋友 0.001368(53/78)	
立法院長王金平 0.00301(114/308)	購票 0.002849(109/238)	文化園區 0.002661(99/176)	救人 0.002607(97/190)	7月7日 0.00258(89/170)	成為台灣 0.002285(87/226)	環境保護 0.002096(85/274)	麥德姆颱風 0.001908(64/322)	台中市政府 0.001881(70/312)	主辦單位 0.001828(69/532)	
主管機關 0.018642(731/1112)	基本工資 0.009562(381/700)	伊波拉病毒 0.007406(292/292)	創新高 0.005935(235/652)	財團法人 0.004718(190/290)	自治條例 0.004312(175/238)	修正草案 0.003018(115/286)	監督管理 0.002486(103/108)	管理委員會 0.002435(102/188)	7月營收 0.002384(97/251)	
行政院長江 0.012949(486/728)	長江宜樺 0.01256(478/702)	民進黨立委 0.011524(436/734)	黨中央 0.0065(260/490)	注中獎 0.006138(237/237)	江宜樺 0.004947(191/300)	中獎號碼 0.004843(187/187)	今天表示 0.004817(172/1074)	無人 0.004532(178/540)	人士說 0.004454(177/238)	
新藥 0.011909(454/454)	大陸市場 0.007835(305/674)	大股東 0.004391(157/356)	下午4時 0.003944(164/536)	靖國神社 0.003576(136/136)	報導指出 0.002734(103/498)	臨床試驗 0.002445(93/122)	歐洲聯盟 0.00234(88/152)	金融服務 0.002235(83/172)	市場規模 0.002235(82/170)	
電子票證 0.004439(162/164)	中華電信 0.003288(130/1046)	年減 0.003151(114/207)	悠遊卡公司 0.002439(94/136)	高雄捷運 0.002274(77/204)	中央銀行 0.002192(81/188)	提供客戶 0.002055(77/129)	觀光旅遊局 0.002028(71/200)	中國市場 0.001891(74/186)	台北捷運 0.001863(65/288)	
陸委會主委 0.005216(181/396)	主委王郁琦 0.00513(180/390)	主席習 0.003583(128/484)	太陽光電 0.003583(127/174)	今年度 0.003439(118/268)	預計今年 0.002608(96/280)	研究中心 0.002494(88/306)	信心指數 0.001835(63/131)	今年9月 0.001663(51/136)	經濟部長張家祝 0.001634(57/318)	
