資源回收 0.003298(87/238)	生物多樣性 0.002453(60/248)	生態旅遊 0.002293(55/117)	客家文化 0.002132(53/254)	高雄市環保局 0.001287(31/70)	農業發展 0.001287(31/84)	生活型態 0.001207(32/68)	穩坐 0.001207(29/40)	今年特別 0.001167(25/120)	成為台灣 0.001126(23/226)	
快捷巴士 0.005735(175/202)	台灣大道 0.005341(168/246)	交通局長 0.004326(133/251)	局長林良泰 0.004293(131/131)	太陽光電 0.004129(128/174)	靜宜大學 0.003212(98/98)	預計今年 0.002622(80/280)	今年度 0.002491(85/268)	國安會秘書長 0.002491(74/180)	雙節 0.002229(68/86)	
公益活動 0.006802(190/340)	金融海嘯 0.003717(103/272)	大陸政府 0.003085(85/234)	國際金融 0.002602(73/165)	弱勢孩童 0.002491(67/72)	競爭激烈 0.002231(62/186)	化學物質 0.002156(58/152)	產能過剩 0.002156(55/103)	世界展望會 0.002156(58/82)	聯盟文教 0.001784(48/48)	
主管機關 0.02525(766/1112)	航空公司 0.02323(705/808)	基本工資 0.022806(700/700)	工資審議 0.006125(188/188)	長榮航空 0.005343(165/186)	審議委員會 0.003193(97/290)	物價指數 0.002672(85/292)	基層員工 0.002444(75/95)	相關規定 0.002379(66/272)	巴拿馬運河 0.002313(71/126)	
數據顯示 0.007675(213/302)	7月31日 0.005141(137/288)	房地產市場 0.004091(127/232)	大陸官方 0.003874(102/286)	新低 0.003693(100/200)	馬英九總統 0.003512(99/714)	大陸房市 0.003403(97/104)	自用住宅 0.003114(87/167)	永續發展 0.003005(83/262)	政治人物 0.002969(76/498)	
機械手臂 0.003904(96/100)	沒人 0.003625(84/364)	高等法院 0.002709(70/160)	日常生活 0.002032(54/178)	防空識別區 0.001912(53/189)	台投資 0.001793(46/136)	溪水暴漲 0.001395(35/78)	媽媽們 0.001275(33/56)	去年9月 0.001235(26/144)	外匯占款 0.001235(31/31)	
大陸國家 0.005729(155/634)	國家主席 0.003581(93/624)	教宗方濟 0.002525(67/190)	新車 0.002299(62/358)	大考中心 0.002262(60/60)	勞退基金 0.002262(59/108)	合作協議 0.002149(57/180)	電競筆電 0.00196(52/61)	簽署合作 0.001922(53/88)	森林步道 0.001809(48/50)	
自治條例 0.006041(160/238)	高市府 0.004299(109/336)	大賣場 0.003558(100/164)	新產品 0.003558(93/521)	縣市合併 0.002669(72/100)	機會獲得 0.002409(67/120)	管理自治 0.002298(65/86)	抽獎活動 0.002187(54/122)	慈善基金會 0.00215(62/255)	台新銀行 0.00215(56/135)	
舉行記者會 0.006322(173/308)	投資金額 0.005587(165/252)	官員表示 0.003823(98/444)	線上報名 0.003235(88/100)	台聯黨團 0.002647(70/151)	台資企業 0.002353(67/156)	投資說明會 0.002316(63/63)	為免費 0.002242(61/61)	證券市場 0.002206(62/98)	救援小組 0.002206(60/60)	
合併營收 0.024945(718/1277)	歷史新高 0.019428(570/928)	美國國務卿 0.004832(144/250)	年增 0.004592(131/694)	季合併 0.004455(128/341)	國務卿凱瑞 0.00442(125/226)	電子產品 0.003906(121/234)	無人 0.003701(101/540)	股份有限公司 0.002844(86/288)	法人預期 0.002673(74/190)	
研究人員 0.003397(86/174)	美國聯 0.00246(66/117)	藍色公路 0.00203(52/84)	預計年底 0.001913(46/142)	可望帶動 0.001835(45/116)	羊膜穿刺 0.001718(44/44)	環評委員 0.001679(44/92)	人民幣兌 0.00164(40/54)	人民幣匯率 0.00164(43/75)	民眾發現 0.001523(37/61)	
成長動能 0.005706(147/402)	主要原因 0.00563(140/250)	台灣市場 0.004864(123/286)	科技大學 0.004519(112/370)	股價表現 0.003906(104/172)	財富管理 0.0036(92/218)	清算行 0.002911(74/78)	奈米製程 0.002911(75/178)	國際資金 0.002834(72/161)	今年3月 0.002796(80/370)	
8月1日 0.003919(107/438)	中共海軍 0.002976(81/100)	金額為 0.002613(75/182)	專家學者 0.002577(66/186)	投資公司 0.002431(71/142)	信義房屋 0.002359(66/151)	國營事業 0.002286(64/210)	中國人民 0.002214(61/334)	週一台北 0.002141(58/470)	今天宣布 0.002032(52/202)	
都市更新 0.005885(168/342)	請民眾 0.003776(106/170)	容積移轉 0.002813(76/78)	來自星星 0.002628(73/108)	容積獎勵 0.002406(64/96)	公共設施 0.002332(65/176)	都市計畫 0.002147(54/444)	開賣 0.001851(56/207)	過去10年 0.001851(48/130)	大陸市場 0.001777(47/674)	
通訊軟體 0.005489(134/188)	活動期間 0.005291(134/322)	彰化縣長 0.005212(131/174)	路跑活動 0.002962(75/148)	縣長卓伯源 0.002725(69/134)	營收成長 0.002725(73/199)	鴻海董事長 0.002133(47/188)	昨日表示 0.001975(48/100)	行動上網 0.001856(47/143)	聯成電腦 0.001817(46/46)	
台塑集團 0.007992(219/292)	河靜鋼鐵 0.004629(128/128)	國際社會 0.003761(104/252)	亞太電信 0.003508(100/223)	今年2月 0.002785(82/266)	金額新台幣 0.002568(70/191)	觀光旅遊 0.002387(59/342)	亞太電 0.002278(63/91)	獨立書店 0.00217(59/60)	老爺酒店 0.002098(59/128)	
媒體詢問 0.004082(102/280)	當地居民 0.003101(78/356)	服務中心 0.002394(52/326)	提出申請 0.002316(53/196)	影響評估 0.002316(64/152)	8月21日 0.00208(57/134)	今年3月 0.001806(59/370)	環境影響 0.001649(42/160)	台灣政治 0.001649(40/116)	行政部門 0.001649(42/123)	
事件發生 0.005377(139/300)	立法院長王金平 0.004589(131/308)	作業系統 0.002294(62/167)	捷運局長 0.002187(62/66)	新興亞洲 0.002008(56/110)	7月14日 0.001972(55/140)	人民銀行 0.001936(54/139)	財務狀況 0.0019(51/114)	局長陳存永 0.001828(51/51)	董氏基金會 0.001793(50/92)	
世足賽 0.005443(132/400)	生活品質 0.003511(87/202)	永續發展 0.002209(56/262)	網路金融 0.001972(50/50)	乙華旅行社 0.001933(49/49)	環境教育 0.001894(48/160)	嚴重影響 0.001894(47/186)	遷村 0.001894(45/118)	醫護人員 0.001657(38/156)	信仰中心 0.001617(43/56)	
人力銀行 0.010496(308/324)	董事長張忠謀 0.004494(127/134)	調查顯示 0.004459(124/290)	台積電董事長 0.003808(111/116)	社會新鮮人 0.003362(93/144)	運動中心 0.003259(91/172)	拓寬工程 0.003087(87/163)	文化園區 0.003053(96/176)	台中市政府 0.002607(67/312)	發生嚴重 0.002161(62/162)	
國寶人壽 0.006037(155/295)	高架化 0.003668(94/131)	相關訊息 0.003554(95/178)	鐵路高架 0.003057(85/97)	飯店業者 0.002407(63/130)	障礙者 0.002255(61/314)	弱勢族群 0.002216(47/240)	12年國教 0.002025(53/404)	勞動局 0.001872(46/106)	徵才活動 0.001834(48/124)	
新興市場 0.01473(390/942)	民進黨主席 0.007705(205/598)	政治人物 0.007441(196/498)	解決方案 0.007214(185/466)	幸福人壽 0.007063(187/187)	參選人柯文哲 0.006496(170/540)	國寶人壽 0.005174(140/295)	電子票證 0.004268(114/164)	國際市場 0.004117(104/254)	季營運 0.003437(88/237)	
新鮮事 0.031105(786/1324)	天下新鮮 0.030522(783/1308)	達志影像 0.015223(377/828)	下午5時 0.00765(192/530)	復興航空 0.006757(174/668)	達志2014年 0.004738(119/258)	新聞相關片 0.004194(105/162)	解決問題 0.003651(93/356)	週四台北 0.003612(100/804)	公共運輸 0.003418(86/190)	
麥德姆颱風 0.004937(129/322)	保險公司 0.002743(79/406)	台北市立 0.002596(70/114)	陸委會副主委 0.00234(59/222)	8月20日 0.002267(59/200)	張顯耀 0.002194(64/192)	再生能源 0.002158(63/444)	8月27日 0.002158(56/146)	一般民眾 0.002011(55/240)	整合行銷 0.001975(49/80)	
新台幣兌 0.005161(132/259)	字頭 0.004727(126/188)	快速道路 0.003782(95/158)	加權指數 0.003506(89/219)	年減 0.003427(84/207)	美國國防部 0.003112(76/166)	中國市場 0.002758(67/186)	國際股市 0.002364(61/101)	堅決反對 0.002325(61/114)	標準普爾 0.002325(57/110)	
環保局表示 0.005299(150/154)	服務中心 0.004552(130/326)	到現場 0.003272(92/138)	開罰 0.003201(86/208)	政府環保局 0.002739(76/112)	污染防治 0.002739(75/94)	市場競爭 0.002561(74/112)	水污染 0.002561(73/90)	工作人員 0.00249(77/512)	勒令停工 0.002419(68/70)	
主計總處 0.006168(157/372)	新高紀錄 0.004927(126/370)	受歡迎 0.004849(126/242)	5月營收 0.004617(118/311)	6月營收 0.00419(107/319)	國泰世華 0.002599(66/193)	應用程式 0.002522(61/186)	台北車站 0.002444(64/132)	現金股息 0.002367(61/158)	召開股東會 0.002289(54/151)	
業者說 0.004455(118/154)	大陸市場 0.004304(118/674)	歐洲聯盟 0.003209(84/152)	市場需求 0.002643(70/440)	公司治理 0.002454(64/131)	家扶兒 0.002228(60/62)	人機 0.00219(58/134)	皇家公主號 0.002039(54/54)	公主遊輪 0.001963(52/54)	帶回家 0.001926(52/152)	
保險公司 0.006956(181/406)	飛彈擊落 0.003018(81/198)	官員表示 0.002981(80/444)	今年1月 0.002613(65/236)	遠通電收 0.00254(71/128)	行動裝置 0.002245(63/422)	6月30日 0.002208(64/252)	涉貪 0.001988(51/343)	石油海外 0.001988(54/54)	9月1日 0.001877(50/156)	
103年8月 0.019355(489/580)	氣候變遷 0.008598(221/360)	女王頭 0.004241(110/110)	台灣省政府 0.00347(90/102)	日本首相 0.002352(58/204)	8月14日 0.002275(59/132)	7月13日 0.002198(57/84)	約新台幣 0.002005(55/228)	錢林慧君 0.001812(47/62)	住房專案 0.001735(44/91)	
值得注意 0.005286(149/376)	台灣高鐵 0.00525(149/252)	公司表示 0.005(137/290)	高鐵公司 0.004678(129/168)	今天表示 0.004286(145/1074)	恢復正常 0.002821(86/236)	昨天上午 0.002643(65/222)	新藥 0.002536(66/454)	高雄發生 0.002286(63/278)	高鐵表示 0.001964(55/55)	
新北市長 0.033042(1208/1236)	市長朱立倫 0.026663(971/1004)	新北市 0.019436(691/2388)	台中市長 0.016836(612/622)	市長胡志強 0.015878(575/654)	市長陳菊 0.009664(352/884)	召開記者會 0.009198(334/822)	市長參選人 0.008815(320/712)	訪台 0.007583(280/858)	競選總部 0.005503(201/358)	
今天說 0.014602(395/628)	變形金剛 0.006066(160/182)	中央社翻譯 0.005092(137/318)	消費滿 0.002996(74/248)	國家發展 0.002584(63/208)	公共建設 0.002434(65/258)	執行力 0.002396(63/170)	托育中心 0.001985(54/100)	公共托育 0.001985(55/95)	政府機關 0.00191(56/156)	
伊波拉病毒 0.011068(292/292)	達人 0.006671(183/414)	貿易協定 0.003487(94/328)	小跌 0.002881(80/180)	供民眾 0.002616(70/188)	今年4月 0.002464(73/366)	教育部長蔣偉寧 0.00235(62/134)	伊波拉疫情 0.002312(61/61)	衛生組織 0.002237(60/104)	醫護人員 0.002085(63/156)	
高收益 0.011441(302/485)	收益債 0.006581(177/329)	投資者 0.006169(169/362)	經濟復甦 0.003627(94/222)	美國海軍 0.003365(84/122)	高收益債 0.003253(88/144)	債券基金 0.003253(78/147)	收益債券 0.003029(82/126)	景氣復甦 0.002804(74/178)	投資組合 0.002767(74/156)	
石化專區 0.016083(522/522)	石化管線 0.015344(494/528)	高雄市政府 0.00986(337/1468)	石化產業 0.008627(283/321)	地方政府 0.00419(135/1190)	經濟部長杜紫軍 0.003852(120/134)	石化工業區 0.003112(101/106)	石化業者 0.00302(98/100)	管線安全 0.002896(94/94)	高雄石化 0.002804(89/152)	
恆春半島 0.005489(162/274)	季財報 0.003214(90/162)	國防部長嚴明 0.003178(90/141)	大股東 0.002925(75/356)	弱勢團體 0.002817(81/140)	研究機構 0.002131(63/138)	大陸投資 0.002023(55/123)	研究中心 0.001878(51/306)	實彈射擊 0.001842(52/94)	實體通路 0.001625(45/90)	
醫師柯文哲 0.00345(87/264)	國民黨中常會 0.003369(81/204)	台大醫師 0.003089(78/236)	參選台北市長 0.002768(68/197)	宗教團體 0.002607(65/124)	山好 0.002487(62/62)	農會總幹事 0.002447(64/90)	好山 0.002327(58/58)	合作關係 0.002287(55/260)	好水 0.002086(50/74)	
總統馬英九 0.019818(596/1040)	國是會議 0.01518(467/468)	經貿國是 0.014272(440/440)	為例 0.003957(116/836)	營收為 0.003795(117/321)	公民基金會 0.002855(88/176)	地球公民 0.002855(88/176)	發表聲明 0.002822(87/404)	經濟研究院 0.002725(85/106)	經濟問題 0.002336(71/76)	
鐵路電氣化 0.009943(310/310)	花東鐵路 0.00943(294/294)	普悠瑪號 0.009173(284/286)	到台東 0.005068(158/192)	普悠瑪列車 0.003689(115/115)	台北到 0.002694(84/104)	電氣化通車 0.00247(77/77)	通車典禮 0.002053(65/68)	行車時間 0.002021(63/67)	司法互助 0.001893(59/79)	
食品藥物 0.003508(94/118)	台北市衛生局 0.002754(73/75)	安全衛生 0.002716(73/120)	衛生管理法 0.002641(70/70)	衛生福利部 0.002641(72/258)	大腸桿菌群超標 0.002565(68/68)	藥物管理 0.002452(66/87)	8月8日 0.002377(59/140)	編列預算 0.002151(64/180)	不符規定 0.001924(52/82)	
中央氣象局 0.0136(604/604)	短暫陣雨 0.01288(572/572)	氣象局表示 0.008894(395/395)	提醒民眾 0.008849(387/426)	午後雷陣雨 0.007498(333/335)	太平洋高壓 0.006935(308/308)	外圍環流 0.006057(269/269)	瞬間大雨 0.006035(269/269)	熱帶性低氣壓 0.006012(267/267)	補充水分 0.005855(258/310)	
電子商務 0.021515(614/722)	產業發展 0.011534(328/754)	就業機會 0.005432(159/432)	育成中心 0.003809(107/126)	僑教中心 0.003704(106/111)	積極推動 0.003527(102/410)	中央銀行 0.003386(95/188)	文化創意 0.003175(89/156)	新興產業 0.003139(88/138)	工作機會 0.00261(80/320)	
桃園縣政府 0.005723(150/354)	世足賽 0.002548(66/400)	公共自行車 0.002511(62/100)	蓬勃發展 0.002253(59/174)	週六台北 0.002142(61/248)	季稅 0.002105(57/142)	合宜住宅案 0.001773(49/193)	瓶用聚酯 0.001773(46/48)	募款晚會 0.001662(46/75)	7月24日 0.001662(44/96)	
協會理事長 0.008394(224/388)	弱勢族群 0.003618(102/240)	獨居老人 0.002895(81/114)	台灣業者 0.002171(59/116)	藍色大門 0.002099(58/58)	金融債 0.00199(55/122)	電子商務 0.001918(47/722)	志工們 0.001701(50/93)	紀念活動 0.001628(43/126)	通電收 0.001592(43/52)	
社福團體 0.004332(116/218)	電信業者 0.004137(101/284)	公共工程 0.003201(76/146)	網路投保 0.003045(78/78)	社保基金 0.00281(70/82)	立委葉津鈴 0.002108(53/64)	勞退基金 0.001874(49/108)	工作機會 0.001835(44/320)	桃園縣政府 0.001718(43/354)	生活空間 0.001679(45/70)	
房地合一 0.015988(469/478)	實價課稅 0.012948(379/390)	合一實價 0.005091(149/149)	中共中央 0.003792(112/272)	不動產交易 0.003724(108/123)	合一課稅 0.002836(82/131)	分離課稅 0.002665(78/78)	爭取連任 0.00246(72/196)	自用住宅 0.002289(64/167)	稅制改革 0.002084(58/76)	
彭博報導 0.013263(385/394)	雲端運算 0.006035(177/194)	產業發展 0.00508(146/754)	經濟部工業局 0.00416(122/216)	今天公布 0.004057(116/262)	戶政事務所 0.003853(111/200)	7月1日 0.00341(102/602)	解決方案 0.003205(95/466)	中央社陳昱婷 0.002557(75/91)	中央社徐睿承 0.002489(72/78)	
器官捐贈 0.004649(131/131)	7月1日 0.004578(124/602)	悠遊卡公司 0.004117(115/136)	觀光景點 0.003478(90/214)	感染者 0.00323(90/150)	愛滋感染 0.003159(89/89)	觀光旅遊局 0.003052(85/200)	活動期間 0.002768(82/322)	手機市場 0.002768(80/192)	達人 0.002733(75/414)	
資本市場 0.005466(152/343)	櫃買中心 0.005359(150/209)	資料顯示 0.004037(111/536)	中心表示 0.00268(73/148)	下午5時 0.002573(80/530)	上櫃公司 0.002501(71/82)	值得注意 0.002465(63/376)	新創事業 0.002215(59/135)	高規格 0.002072(67/112)	旅行業者 0.002072(56/138)	
中油公司 0.006375(180/212)	無鉛汽油 0.005271(148/148)	國際油價 0.004096(118/207)	到高雄 0.003099(94/240)	外籍勞工 0.003099(86/200)	浮動油價 0.002992(84/84)	國內油價 0.00292(82/82)	高市府 0.002849(83/336)	超級柴油 0.002778(78/78)	桶裝瓦斯 0.002707(76/84)	
公路總局 0.011601(312/324)	網路簡訊 0.005447(146/146)	商業同業 0.003992(105/190)	同業公會 0.003768(98/274)	生物多樣性 0.003581(98/248)	氣候變遷 0.002873(82/360)	交通管制 0.002761(74/125)	國民黨中央 0.002723(71/184)	國泰世華 0.002574(71/193)	工務段 0.002276(61/61)	
新產品 0.007452(210/521)	智慧手機 0.006167(163/348)	指數下跌 0.004919(132/209)	英國倫敦 0.004589(123/158)	道瓊工業 0.004295(115/173)	指數上漲 0.004112(111/293)	創新高 0.003781(108/652)	成為全球 0.003414(94/246)	指數收低 0.003341(91/91)	指數收高 0.003267(89/89)	
財團法人 0.006066(162/290)	管理委員會 0.004185(104/188)	農曆七月 0.003916(103/127)	監督管理 0.003878(99/108)	功能障礙 0.002765(72/72)	金融監督 0.002765(72/72)	民間投資 0.002227(57/140)	航空城捷運 0.002112(55/55)	今天舉辦 0.002074(56/76)	大問題 0.002074(54/120)	
台獨黨綱 0.015797(477/491)	高雄市長 0.013355(422/772)	主席蔡英文 0.011791(355/566)	服貿協議 0.011596(357/822)	支持者 0.011335(349/526)	總統大選 0.010325(320/460)	市長賴清德 0.010097(304/388)	台南市長 0.008143(254/298)	兩岸政策 0.006254(194/215)	凍結台獨 0.006091(187/187)	
消息人士 0.003996(174/378)	好戰分子 0.003856(164/165)	官員說 0.003763(152/324)	美國總統 0.002688(113/462)	飛彈擊落 0.002594(113/198)	美國官員 0.002477(107/136)	總統歐巴馬 0.002477(109/400)	俄羅斯總統 0.002454(105/114)	武裝分子 0.002314(99/115)	馬航班機 0.002244(97/98)	
台北股市 0.005975(156/355)	彰化縣政府 0.005003(139/220)	股市今天 0.004067(116/247)	台股今天 0.003456(95/146)	女學生 0.003204(89/128)	電力公司 0.003024(91/152)	產業園區 0.003024(85/180)	客家文化 0.00288(79/254)	月台指 0.002808(78/78)	今天終場 0.002808(78/78)	
台北市長參選人 0.018331(831/1282)	參選人連勝文 0.016117(728/728)	國民黨台北市長 0.012442(562/564)	參選人柯文哲 0.008125(370/540)	柯文哲說 0.007129(318/334)	在野整合 0.00642(289/294)	競選總幹事 0.003985(180/188)	醫師柯文哲 0.003919(177/264)	台大醫師 0.00352(158/236)	陳震遠 0.003343(151/151)	
來台 0.056176(1810/2678)	注中獎 0.007312(237/237)	陸客來 0.005677(185/216)	觀光產業 0.005337(170/384)	做公益 0.004196(128/262)	區段徵收 0.003486(112/170)	專案小組 0.003239(107/266)	都市計畫 0.003239(109/444)	桃園航空城 0.003209(105/208)	無人 0.003054(99/540)	
金城武 0.003903(102/102)	沒人 0.003323(86/364)	小股東 0.003091(81/202)	上班上課 0.002589(68/146)	南山人壽 0.002357(61/126)	慈善基金會 0.002357(56/255)	停止上班 0.002087(54/72)	颱風假 0.002087(54/54)	交接典禮 0.00201(55/100)	空軍司令部 0.00201(52/95)	
冰桶挑戰 0.010377(318/318)	凍人協會 0.004047(132/148)	者家屬 0.003688(113/258)	系列產品 0.003231(98/165)	接受挑戰 0.0031(96/132)	華山基金會 0.003035(93/109)	公益團體 0.003002(91/114)	新北市府 0.002448(70/160)	捐錢 0.002317(70/88)	中心主任 0.002252(64/414)	
集體自衛權 0.012946(372/381)	應變中心 0.009867(282/470)	災害應變 0.007803(219/384)	日本政府 0.007593(209/384)	美日 0.006159(174/196)	安倍晉三 0.004199(120/120)	今年5月 0.003884(99/354)	交通部觀光局 0.003569(105/300)	產業發展 0.003464(98/754)	台灣觀光 0.003289(95/266)	
主席習 0.012427(462/484)	大陸國家 0.007375(269/634)	國家主席 0.006781(252/624)	中國大陸 0.005808(210/4584)	經濟對話 0.003377(123/149)	總統朴槿惠 0.00335(126/228)	夥伴關係 0.00308(117/193)	和平發展 0.002999(107/390)	國關係 0.002351(88/174)	聯合聲明 0.002324(86/89)	
障礙者 0.00476(125/314)	武器裝備 0.002107(56/75)	新規定 0.00199(53/126)	高收益債 0.001873(47/144)	台灣本島 0.001756(43/134)	信用利差 0.001561(41/44)	級幹部 0.001561(41/45)	國有財產 0.001522(39/41)	富達證券 0.001444(37/62)	壟斷調查 0.001444(40/70)	
防空識別區 0.004613(112/189)	國家電影 0.003373(87/87)	電影中心 0.002287(59/59)	補充水分 0.001938(52/310)	山毛櫸飛彈 0.001861(48/58)	大天使 0.001822(47/47)	綠竹筍 0.001745(41/88)	預估值 0.001667(44/183)	都市更新 0.001628(38/342)	主要原因 0.001435(39/250)	
再生能源 0.00663(172/444)	中獎號碼 0.005672(146/187)	生技產業 0.003947(104/216)	就業機會 0.003832(96/432)	號碼為 0.003296(86/137)	醫療器材 0.002951(81/212)	中國醫藥 0.002798(72/92)	貿易協議 0.002798(72/339)	醫藥大學 0.002644(69/90)	目前台灣 0.002606(69/224)	
臉書 0.03035(787/1060)	彈道飛彈 0.004488(118/153)	美國經濟 0.003386(85/216)	去年10月 0.003386(85/148)	基礎設施 0.003346(89/166)	防空飛彈 0.002835(71/115)	上市櫃公司 0.002795(75/152)	今天宣布 0.002638(66/202)	下午1時 0.002362(60/110)	聲明表示 0.002205(45/156)	
郝龍斌 0.04763(1305/1432)	台北市長郝 0.013871(374/440)	今天上午 0.010468(274/430)	台北市政府 0.007291(199/372)	龍斌說 0.005122(138/140)	龍斌表示 0.004561(122/122)	台灣民眾 0.004262(120/560)	送禮 0.004225(111/190)	報告指出 0.003963(110/344)	島國前進 0.003403(84/155)	
黨中央 0.008901(267/490)	集團董事長 0.008866(265/472)	鴻海集團 0.008452(243/344)	董事長郭台銘 0.007693(224/256)	做事 0.006693(194/280)	鴻海董事長 0.004623(140/188)	8月15日 0.004623(134/216)	8月7日 0.003933(113/280)	民進黨立委 0.003588(107/734)	在野大聯盟 0.00276(79/211)	
罹難者 0.01595(443/784)	馬政府 0.008922(258/612)	為例 0.004661(138/836)	官員表示 0.003715(104/444)	近年來 0.003642(100/320)	造成嚴重 0.003387(92/196)	海外市場 0.00244(67/174)	宣導活動 0.002258(66/112)	人才招募 0.002003(55/197)	災害防救 0.001967(54/146)	
重大新聞 0.012575(332/332)	推播通知 0.012537(331/332)	通知快 0.012499(330/330)	快下載 0.012499(330/330)	液晶電視 0.004545(119/190)	報導指出 0.003712(108/498)	生物多樣性 0.002614(68/248)	解決問題 0.002349(52/356)	統一集團 0.002311(62/103)	軸電腦 0.002008(53/53)	
合宜住宅 0.02636(939/944)	社會住宅 0.019896(714/792)	八德合宜 0.00756(269/269)	住宅政策 0.007419(266/286)	副縣長 0.007082(259/562)	涉貪 0.007082(250/343)	營建署長 0.005817(207/207)	遠雄集團 0.005705(203/203)	地方政府 0.005368(190/1190)	董事長趙藤雄 0.004693(168/168)	
暑假期間 0.00513(138/302)	觀光產業 0.004397(135/384)	外貿協會 0.003481(98/230)	合作備忘錄 0.002602(77/178)	旅遊旺季 0.002565(72/158)	選舉委員會 0.002455(68/140)	沒有人 0.002382(66/320)	世界遺產 0.002235(61/90)	人認為 0.002015(50/254)	國民待遇 0.002015(55/55)	
台北捷運 0.007638(208/288)	捷運公司 0.006753(180/218)	物價指數 0.00583(153/292)	消費者物價 0.004797(129/226)	教育訓練 0.002768(81/118)	交通工具 0.002436(62/144)	空氣汙染 0.002177(59/64)	亞太地區 0.00214(59/222)	台北市政府 0.002104(57/372)	金融商品 0.002104(56/110)	
