自由經濟 0.011382(500/770)	經濟示範區 0.010561(452/708)	推薦新聞 0.007208(309/552)	特別條例 0.004813(218/392)	示範區特別 0.003741(166/296)	做事 0.002874(137/280)	解決問題 0.002281(97/356)	產業園區 0.002258(99/180)	台灣前途 0.002122(96/264)	季財報 0.002122(88/162)	
市場需求 0.004655(191/440)	資本市場 0.004655(190/343)	成長動能 0.003647(157/402)	社會責任 0.003527(139/338)	國家風景區 0.002975(123/140)	櫃買中心 0.002759(121/209)	今年3月 0.002423(103/370)	遊客中心 0.002423(103/137)	財富管理 0.002351(101/218)	股價表現 0.002231(93/172)	
為例 0.006874(284/836)	年增 0.006193(272/694)	工作人員 0.005036(234/512)	市場預期 0.003289(141/358)	今年5月 0.002609(110/354)	資料顯示 0.002427(111/536)	新車 0.002427(105/358)	求職者 0.002337(104/264)	文教基金會 0.002223(97/284)	業者表示 0.00211(96/346)	
馬總統 0.035186(1561/2302)	人事同意權 0.003862(161/405)	台北國際 0.003323(151/332)	台灣觀光 0.003323(143/266)	交通部觀光局 0.002829(126/300)	共同管道 0.001909(83/125)	大飯店 0.001774(76/448)	總統馬英九 0.001729(79/1040)	功能障礙 0.001617(72/72)	國泰世華 0.001572(68/193)	
8月7日 0.002755(123/280)	昨天上午 0.001991(90/222)	選舉委員會 0.001783(73/140)	宗教團體 0.001621(66/124)	警方表示 0.001574(68/132)	山好 0.001436(62/62)	蘋果日報 0.001412(61/98)	好山 0.001343(58/58)	美國國務院 0.00132(59/132)	公民提名 0.001297(56/56)	
七夕情人節 0.003087(147/184)	認購權證 0.002698(125/240)	高等法院 0.002461(111/160)	富邦人壽 0.002094(100/116)	雲端服務 0.002029(94/176)	壽險公司 0.001964(89/273)	法人認為 0.001921(91/206)	去年9月 0.001878(81/144)	獲利了結 0.001705(78/142)	密切聯繫 0.001662(78/111)	
新興市場 0.012481(897/942)	基金經理人 0.011372(820/824)	高收益 0.006726(485/485)	收益債 0.004563(329/329)	貨幣政策 0.004493(321/346)	法人表示 0.003842(277/447)	企業獲利 0.003384(242/251)	歐洲央行 0.002912(210/212)	美國經濟 0.002815(206/216)	地緣政治 0.002801(203/218)	
石化專區 0.01093(515/522)	石化產業 0.005306(250/321)	夥伴協定 0.005285(249/257)	氣候變遷 0.005051(238/360)	石化管線 0.004542(218/528)	區域經濟 0.003905(179/394)	生物多樣性 0.003417(165/248)	跨太平洋 0.003184(150/168)	經濟整合 0.002717(133/303)	太平洋夥伴 0.002505(115/151)	
消費滿 0.005082(229/248)	購物中心 0.003373(151/358)	新竹米粉 0.002438(108/109)	人力銀行 0.002393(99/324)	空氣品質 0.002302(97/186)	水資源 0.002074(92/190)	飛彈擊落 0.00196(84/198)	7月3日 0.001572(69/140)	三商美邦人壽 0.001527(67/67)	大品牌 0.001481(66/125)	
媒體報導 0.012027(564/830)	防空識別區 0.003946(189/189)	國家公園 0.003362(165/484)	中華民國駐 0.003257(155/162)	彈道飛彈 0.002777(133/153)	代表處 0.002756(131/286)	江院長 0.002339(112/166)	研究人員 0.002109(105/174)	美國海軍 0.001963(98/122)	中共海軍 0.001963(94/100)	
12年國教 0.007108(375/404)	十二年國教 0.006538(347/352)	免試入學 0.005227(275/275)	達人 0.004276(228/414)	搭車 0.003972(197/292)	特色招生 0.003174(167/167)	台灣大道 0.003155(167/246)	快捷巴士 0.003079(166/202)	志願序 0.002452(129/129)	7月1日 0.002433(124/602)	
經濟發展 0.00437(207/1042)	台灣人民 0.003595(168/464)	民主法治 0.002756(128/149)	總統說 0.002454(117/350)	兩岸人民 0.001981(91/194)	總統表示 0.001851(88/240)	中國人民 0.001808(84/334)	六四事件 0.001808(84/84)	今年7月 0.001744(79/302)	今天宣布 0.001701(83/202)	
國是會議 0.009861(449/468)	經貿國是 0.009351(422/440)	附加價值 0.002105(96/214)	經濟研究院 0.001928(89/106)	郭台銘表示 0.001906(84/98)	無人 0.001795(79/540)	大學畢業生 0.001751(82/130)	蘋果公司 0.001706(77/117)	汽車旅館 0.001463(63/86)	全國大會 0.00133(60/60)	
103年6月 0.008152(357/604)	人才招募 0.004282(197/197)	推薦新聞 0.003348(166/552)	台灣高鐵 0.003152(148/252)	海軍陸戰隊 0.002935(137/172)	交換意見 0.002761(128/358)	全民國防 0.002413(111/111)	學員們 0.001826(83/114)	後備指揮部 0.001761(81/83)	志願士兵 0.001717(79/79)	
標準時間 0.054028(3482/3482)	台北標準 0.053997(3480/3480)	時間上午 0.02765(1782/1782)	時間下午 0.027278(1758/1758)	新鮮事 0.020528(1324/1324)	天下新鮮 0.020296(1308/1308)	2014年6月 0.013344(861/920)	中央社2014年 0.012553(815/854)	達志影像 0.012367(797/828)	週四台北 0.012118(775/804)	
新北市 0.031745(1728/2388)	新北市長 0.022256(1234/1236)	市長朱立倫 0.018006(996/1004)	市長胡志強 0.011416(634/654)	台中市長 0.0112(620/622)	市長參選人 0.010336(568/712)	大台中 0.003781(210/218)	朱立倫表示 0.003691(206/206)	競選總部 0.003529(195/358)	爭取連任 0.003403(189/196)	
基本工資 0.008319(383/700)	主管機關 0.007485(348/1112)	大飯店 0.003957(179/448)	數據顯示 0.00385(182/302)	受訪者 0.003743(175/294)	結果顯示 0.003721(178/192)	民調顯示 0.003636(173/194)	民調結果 0.002909(135/326)	總統大選 0.002545(124/460)	女王頭 0.002353(110/110)	
合宜住宅 0.017898(933/944)	八德合宜 0.005144(269/269)	馬英九總統 0.005125(273/714)	桃園縣政府 0.0048(249/354)	涉貪 0.004532(239/343)	副縣長 0.004341(226/562)	社會住宅 0.004131(220/792)	營建署長 0.003958(207/207)	遠雄集團 0.003882(203/203)	地方政府 0.003748(195/1190)	
人受傷 0.004668(194/330)	縣長參選人 0.004097(171/253)	人死亡 0.002691(108/280)	好戰分子 0.002334(100/165)	近年來 0.002144(86/320)	安全部隊 0.001667(67/89)	每日郵報 0.00162(67/128)	移轉訂價 0.001524(64/64)	趴趴 0.001501(63/66)	下午2時 0.001334(54/222)	
臉書 0.015106(702/1060)	無人 0.004862(229/540)	考試委員 0.004582(212/247)	同意權投票 0.003198(151/210)	世足賽 0.002939(140/400)	美國國務卿 0.002377(108/250)	國務卿凱瑞 0.002075(92/226)	中心主任 0.002032(99/414)	監察委員 0.001988(100/506)	今天下午 0.001967(100/406)	
電子商務 0.009913(505/722)	產業發展 0.003865(212/754)	災害應變 0.003382(179/384)	舉行記者會 0.003092(162/308)	今天下午 0.002937(151/406)	就業機會 0.002937(152/432)	勞動力發展 0.002512(128/152)	俄羅斯總統 0.002203(114/114)	103年6月 0.002184(120/604)	飛彈擊落 0.002068(109/198)	
議長黃景泰 0.004707(202/384)	接受媒體 0.00411(183/314)	媒體訪問 0.003237(137/222)	通訊軟體 0.002663(112/188)	基隆市議長 0.002663(118/219)	市長選舉 0.00248(112/299)	大賣場 0.001791(75/164)	租賃公司 0.001745(76/79)	電動巴士 0.001653(72/72)	國際金融 0.00147(66/165)	
自由貿易 0.007474(336/474)	歷史新高 0.007144(326/928)	貿易協定 0.005122(223/328)	副總統吳敦義 0.00499(231/356)	嚴部長 0.0031(141/148)	大陸市場 0.00299(143/674)	今天表示 0.002814(124/1074)	服貿協議 0.002682(115/822)	國際機場 0.002594(127/308)	代表處 0.002484(109/286)	
家扶中心 0.007036(338/353)	現金股利 0.002262(108/282)	美國總統 0.002073(98/462)	大陸地區 0.002052(96/226)	總統歐巴馬 0.001969(101/400)	世界盃足球賽 0.001864(86/220)	美國官員 0.001717(89/136)	好戰份子 0.001613(77/80)	獲利表現 0.001529(75/178)	好戰分子 0.001403(65/165)	
中國大陸 0.012486(833/4584)	大陸國家 0.007137(504/634)	國家主席 0.006622(464/624)	主席習 0.005235(363/484)	總統朴槿惠 0.002961(209/228)	國際社會 0.002818(194/252)	南韓總統 0.002374(167/186)	再生能源 0.002317(161/444)	中國國家 0.002303(162/206)	日本首相 0.002217(152/204)	
中華電信 0.006852(294/1046)	科技公司 0.003485(139/262)	集團旗下 0.003461(149/382)	金融機構 0.003274(138/352)	彰化縣長 0.002736(117/174)	公司董事長 0.002666(124/320)	元大寶來 0.002385(109/260)	不少人 0.002292(99/226)	電子票證 0.002058(86/164)	台北市立 0.001684(68/114)	
供應鏈 0.005168(235/584)	人力銀行 0.004017(191/324)	黃埔建軍 0.002931(135/148)	調查顯示 0.00291(129/290)	做公益 0.002888(129/262)	河靜鋼鐵 0.00278(128/128)	今年4月 0.002606(124/366)	法人指出 0.002562(121/274)	季業績 0.002519(116/315)	台塑集團 0.002193(103/292)	
