今天表示 0.017383(459/1074)	太陽花 0.006654(179/416)	花學運 0.00572(154/382)	大陸官方 0.00501(137/286)	房地產市場 0.003813(102/232)	經濟復甦 0.00344(91/222)	社會福利 0.003402(95/286)	網站上 0.002692(74/128)	空品淨化區 0.002617(70/70)	景氣復甦 0.002542(68/178)	
大飯店 0.01234(337/448)	認購權證 0.005208(135/240)	法人認為 0.003246(87/206)	晶華酒店 0.003208(84/140)	獲利了結 0.003095(78/142)	國泰證 0.002831(73/102)	維持穩定 0.002642(69/112)	積極布局 0.002491(66/116)	鴻海集團 0.002416(61/344)	產品組合 0.002416(61/117)	
無人 0.007835(273/540)	美國國務卿 0.006777(236/250)	國務卿凱瑞 0.006234(218/226)	好戰分子 0.004718(165/165)	美國總統 0.004518(150/462)	總統歐巴馬 0.004118(139/400)	做公益 0.003918(139/262)	美國官員 0.002946(104/136)	營收達 0.002688(95/239)	液晶電視 0.002545(95/190)	
代表處 0.007616(206/286)	市場需求 0.006329(171/440)	購物中心 0.00563(154/358)	全國電子 0.004599(122/135)	中華民國駐 0.004084(111/162)	金酒公司 0.004084(112/116)	今年3月 0.004047(108/370)	金酒廈門 0.003128(85/85)	廈門公司 0.003054(83/83)	營收可望 0.002944(76/209)	
原物料 0.004549(121/190)	吸金 0.00353(96/170)	國家主席 0.003255(86/624)	中央軍委 0.003216(81/126)	防空飛彈 0.00302(73/115)	今年4月 0.002706(68/366)	海外說明會 0.002353(60/60)	雙北市 0.002275(54/148)	低利率 0.002196(56/114)	南京軍區 0.002157(59/63)	
政務委員 0.006661(185/222)	發言人孫立群 0.005647(157/262)	行政院發言人 0.005285(144/224)	消費滿 0.004851(136/248)	遠通電收 0.003801(105/128)	青年顧問團 0.003439(95/95)	農曆七月 0.003005(88/127)	孫立群表示 0.002896(81/96)	公司治理 0.002498(69/131)	行政院政務 0.002462(71/116)	
兩岸關係 0.01634(425/1526)	來台 0.014398(362/2678)	推播通知 0.012646(332/332)	重大新聞 0.012646(332/332)	快下載 0.012569(330/330)	通知快 0.012531(329/330)	主任張志軍 0.011389(300/954)	國台辦主任 0.01116(290/968)	主計總處 0.006932(176/372)	103年6月 0.005218(140/604)	
基本工資 0.014379(378/700)	物價指數 0.010389(273/292)	消費者物價 0.008018(216/226)	工資審議 0.007077(188/188)	中央社翻譯 0.006889(184/318)	審議委員會 0.005232(140/290)	主計總處 0.002861(80/372)	今年7月 0.002522(65/302)	美國聯 0.002409(64/117)	勞動部 0.002259(58/460)	
工作人員 0.00984(256/512)	股份有限公司 0.007696(207/288)	文教基金會 0.007543(194/284)	台北股市 0.005667(148/355)	審議委員會 0.004403(113/290)	股市今天 0.004365(111/247)	台股今天 0.003676(96/146)	電子產品 0.003446(89/234)	月台指 0.002987(78/78)	今天終場 0.002987(78/78)	
103年7月 0.018651(467/586)	推薦新聞 0.013311(330/552)	官員表示 0.007891(184/444)	保險公司 0.006815(166/406)	外銷訂單 0.004504(114/118)	會議中心 0.002511(62/110)	海外生產 0.002312(59/61)	國軍官兵 0.002272(60/129)	新基金 0.002033(51/56)	國內投信 0.001873(47/60)	
中央氣象局 0.01321(604/604)	短暫陣雨 0.01251(572/572)	提醒民眾 0.008661(385/426)	氣象局表示 0.008639(395/395)	午後雷陣雨 0.007283(333/335)	太平洋高壓 0.006736(308/308)	外圍環流 0.005883(269/269)	熱帶性低氣壓 0.00584(267/267)	補充水分 0.005708(264/310)	電子商務 0.005271(249/722)	
季營收 0.02147(862/943)	季成長 0.008578(335/430)	法人預估 0.007374(294/342)	伊波拉病毒 0.007274(291/292)	成交金額 0.005543(213/456)	資本支出 0.005317(209/305)	創歷史 0.004866(188/376)	大尺寸 0.004264(167/235)	單季新高 0.003863(153/154)	智慧型手機 0.003587(128/1126)	
數據顯示 0.00789(212/302)	大陸房市 0.003781(103/104)	新低 0.003672(98/200)	中國經濟 0.0032(94/197)	國民黨中央 0.0028(78/184)	傳統旺季 0.002764(75/185)	統計局 0.002727(76/98)	市場預期 0.002364(66/358)	國家統計 0.002364(65/79)	今年來 0.002145(57/116)	
桃園縣政府 0.005612(146/354)	下午3時 0.002907(71/246)	社保基金 0.002827(70/82)	台灣市場 0.002382(56/286)	週六台北 0.002382(61/248)	小火車 0.002181(53/91)	去年3月 0.00214(50/108)	合宜住宅案 0.001938(52/193)	勞退基金 0.001938(48/108)	主席馬英九 0.001858(42/120)	
金管會主委 0.007266(227/230)	主委曾銘宗 0.00704(218/226)	資本市場 0.006394(194/343)	台北股市 0.005264(160/355)	都市計畫 0.004295(139/444)	小跌 0.004005(123/180)	成交金額 0.003972(122/456)	股價指數 0.003682(120/234)	櫃買中心 0.003585(110/209)	服務品質 0.003423(111/268)	
再生能源 0.013634(386/444)	翠玉白菜 0.012127(346/346)	故宮博物院 0.011075(316/316)	國立故宮 0.009989(285/285)	國立博物館 0.006554(187/187)	接受媒體 0.006414(182/314)	神品至寶展 0.005222(149/149)	發表聲明 0.004942(138/404)	赴日 0.004732(135/218)	議長黃景泰 0.004732(133/384)	
公民團體 0.005556(145/274)	島國前進 0.005135(133/155)	立法院臨時會 0.004024(106/301)	張志軍來 0.003755(92/268)	民主陣線 0.003257(87/105)	沒有辦法 0.002721(72/244)	抗議民眾 0.002606(66/124)	新舞臺 0.002491(65/68)	做公益 0.002184(52/262)	配套措施 0.001993(53/160)	
台灣市場 0.005823(152/286)	黃埔建軍 0.005351(133/148)	海外市場 0.004603(115/174)	電信業者 0.004446(118/284)	清算行 0.003069(78/78)	今年3月 0.002636(68/370)	人民幣清算 0.001889(48/74)	成為台灣 0.001771(48/226)	張先生 0.001731(43/84)	醫療服務 0.001731(40/114)	
中華電信 0.017143(485/1046)	新興市場 0.012745(368/942)	主辦單位 0.003637(101/532)	雲端運算 0.003186(92/194)	資產配置 0.003083(84/152)	觀光旅遊局 0.002667(71/200)	股票型基金 0.002632(75/108)	連鎖加盟 0.002598(75/91)	搶市 0.002286(67/151)	電信公司 0.002148(61/158)	
弱勢家庭 0.007267(199/316)	2014年7月 0.006772(181/760)	彰化縣長 0.00643(169/174)	縣長卓伯源 0.003614(94/134)	弱勢族群 0.003424(89/240)	華山基金會 0.00331(89/109)	慈善基金會 0.002892(79/255)	縣長參選人 0.002207(60/253)	貧富差距 0.002055(57/128)	市地重劃 0.001903(52/82)	
基隆市長 0.021555(789/789)	國民黨提名 0.006584(241/266)	議長黃景泰 0.006366(238/384)	參選基隆 0.006147(225/225)	黨中央 0.004235(147/490)	基隆市議會 0.004016(145/147)	諮詢委員 0.003852(143/144)	市長選舉 0.003798(142/299)	市議會議長 0.003552(129/132)	國民黨基隆 0.003224(118/118)	
市長參選人 0.016233(510/712)	台中市長 0.011664(368/622)	市長胡志強 0.010865(354/654)	競選總部 0.006711(213/358)	大台中 0.006423(202/218)	民調結果 0.00572(182/326)	參選人林佳龍 0.004698(147/147)	產業發展 0.004346(137/754)	大陸政府 0.003547(114/234)	民進黨台中 0.003164(99/99)	
變形金剛 0.005889(148/182)	來自星星 0.003416(85/108)	報導說 0.003101(81/262)	托育資源 0.002591(66/83)	女主角 0.002316(57/106)	攻擊直升機 0.002159(56/95)	交通局長 0.001767(46/251)	國際關係 0.001767(44/108)	胡市長 0.001728(43/161)	全球行銷 0.001688(43/43)	
房地合一 0.014656(478/478)	實價課稅 0.007666(246/390)	103年6月 0.005274(169/604)	交換意見 0.00509(168/358)	合一實價 0.004569(149/149)	今天表示 0.004078(139/1074)	合一課稅 0.004017(131/131)	財政部長張盛和 0.003649(118/152)	女王頭 0.003373(110/110)	自用住宅 0.003342(109/167)	
高收益 0.017588(485/485)	收益債 0.011931(329/329)	新興市場 0.008268(226/942)	債券基金 0.005295(147/147)	為例 0.004932(138/836)	收益債券 0.00457(126/126)	投資組合 0.004171(115/156)	組合基金 0.003119(80/173)	市場債券 0.00272(76/103)	季經濟 0.002539(71/183)	
考試委員 0.007551(189/247)	同意權投票 0.006306(166/210)	奈米製程 0.003075(76/178)	悠遊卡公司 0.002725(69/136)	立法院同意 0.002725(70/116)	獲立法院 0.002491(64/64)	院委員會 0.002375(61/91)	黨籍立委 0.002297(65/98)	審查小組 0.00218(59/97)	國際會議 0.002141(53/126)	
穿戴裝置 0.003144(83/234)	無人 0.002882(83/540)	監察委員 0.002807(76/506)	自有品牌 0.002657(79/152)	協會理事長 0.002508(70/388)	漢翔公司 0.002208(59/68)	資本支出 0.002059(56/305)	精密機械 0.002021(57/106)	無線充電 0.001984(52/127)	集團總裁 0.001909(55/156)	
競選連任 0.003943(99/182)	想說 0.003368(82/144)	高產值 0.00267(65/65)	廉價航空 0.002546(64/116)	人說 0.002505(68/270)	柯文哲表示 0.002259(56/166)	綠屋頂 0.001848(44/45)	綠竹筍 0.001725(44/88)	騎機車 0.001725(36/88)	政府政策 0.001684(38/116)	
主管機關 0.032925(834/1112)	基本工資 0.011685(304/700)	自治條例 0.006887(185/238)	網路投保 0.003018(78/78)	基層員工 0.002941(76/95)	相關規定 0.002863(78/272)	管理自治 0.002786(72/86)	金融商品 0.002477(65/110)	公共運輸 0.002399(65/190)	營利事業 0.002399(61/88)	
高雄氣爆 0.042074(2321/2368)	氣爆事件 0.023326(1288/1320)	高雄市政府 0.013102(724/1468)	2014年8月 0.009175(503/796)	氣爆意外 0.007221(398/402)	李長榮化工 0.006533(362/362)	發生氣爆 0.005266(290/302)	氣爆傷亡 0.004959(274/274)	石化氣爆 0.004868(268/310)	專輯轟街 0.004669(258/258)	
基金經理人 0.016834(783/824)	新興市場 0.006678(312/942)	貨幣政策 0.005798(264/346)	企業獲利 0.005261(244/251)	法人表示 0.004789(217/447)	地緣政治 0.004552(211/218)	歐洲央行 0.004423(206/212)	成長動能 0.004058(188/402)	資料顯示 0.004016(185/536)	經濟數據 0.003908(179/206)	
103年6月 0.006998(187/604)	今天上午 0.006091(165/430)	大股東 0.005523(144/356)	報導指出 0.004767(124/498)	供民眾 0.003745(105/188)	金融服務 0.0028(74/172)	商業銀行 0.002497(66/157)	頒獎典禮 0.002383(65/172)	開放民眾 0.002005(49/178)	森林遊樂區 0.002005(56/113)	
身心障礙 0.010357(276/520)	障礙者 0.009839(269/314)	身障者 0.004143(112/148)	日本政府 0.003588(103/384)	身障朋友 0.002109(57/82)	台灣三星 0.001813(48/62)	談判代表 0.001739(44/81)	發展署 0.001702(42/98)	就業博覽會 0.001591(45/101)	無障礙 0.001554(47/150)	
開發單位 0.003491(98/122)	昨天上午 0.002823(74/222)	恢復正常 0.002749(73/236)	經營團隊 0.0026(71/160)	願景 0.002452(64/326)	環評大會 0.002229(60/60)	航空城捷運 0.002043(55/55)	通過環評 0.002006(55/94)	昨天下午 0.001969(62/236)	公司表示 0.001969(54/290)	
兩岸關係 0.026024(1001/1526)	和平發展 0.009881(386/390)	訪台 0.007956(299/858)	國台辦主任 0.007648(297/968)	主任張志軍 0.006981(285/954)	關係和平 0.005441(212/212)	大陸國台辦 0.004825(183/628)	太陽花 0.004671(187/416)	花學運 0.004466(173/382)	張志軍訪 0.004415(175/370)	
馬英九總統 0.011161(292/714)	8月7日 0.004527(121/280)	專用道 0.003786(101/181)	競選團隊 0.003044(81/193)	馬術治療 0.002693(69/69)	集團旗下 0.002303(61/382)	工務段 0.002264(57/61)	臺中花博 0.001991(51/51)	縣市首長 0.001991(49/124)	公路總局 0.001952(48/324)	
冰桶挑戰 0.010747(318/318)	快捷巴士 0.006509(194/202)	台灣大道 0.006001(181/246)	局長林良泰 0.004441(131/131)	凍人協會 0.004306(127/148)	靜宜大學 0.003323(98/98)	接受挑戰 0.003221(94/132)	凍人募款 0.003119(92/92)	交通局長 0.002509(77/251)	捐錢 0.002339(69/88)	
想辦法 0.002913(78/146)	專案小組 0.002235(57/266)	專案報告 0.002075(60/146)	羅許基金會 0.001836(46/46)	政治操作 0.001716(43/126)	立法院同意 0.001676(41/116)	中央社陳昱婷 0.001596(41/91)	好消息 0.001596(42/168)	代店 0.001556(38/105)	環境商品 0.001516(38/38)	
臉書 0.027811(735/1060)	大陸市場 0.004667(113/674)	大螢幕 0.003681(95/136)	社會責任 0.003567(97/338)	環境保護 0.003453(91/274)	市場需求 0.002694(75/440)	來回機票 0.002656(67/125)	半導體產業 0.002391(61/148)	鼓勵民眾 0.002201(66/168)	法人看好 0.002087(53/130)	
台灣大 0.007451(204/214)	台灣大哥大 0.007413(198/198)	中華電信 0.006627(180/1046)	遠傳電信 0.005092(138/182)	電信業者 0.003295(90/284)	達人 0.002396(70/414)	大台北地區 0.002209(56/176)	董事長徐旭東 0.00206(55/72)	海水浴場 0.001947(47/68)	高收益債 0.00176(47/144)	
大股東 0.002935(77/356)	8月4日 0.002325(65/140)	創歷史 0.002287(57/376)	勞退基金 0.002287(60/108)	基礎建設 0.001715(42/262)	前波高點 0.001448(37/66)	基隆客運 0.001334(35/35)	月增加 0.001296(35/81)	商業銀行 0.001258(31/157)	外電報導 0.001258(29/70)	
生物多樣性 0.008316(237/248)	氣候變遷 0.007898(227/360)	永續發展 0.002436(73/262)	體驗活動 0.002366(61/232)	北原礦業 0.002262(65/65)	開發銀行 0.002262(65/119)	水源水質 0.002192(63/67)	生態旅遊 0.002157(60/117)	重大傷亡 0.001949(56/124)	大陸央行 0.001879(53/85)	
應變中心 0.014507(398/470)	災害應變 0.01162(313/384)	投入救援 0.002924(81/90)	中央災害 0.002704(79/184)	作戰區 0.002668(72/126)	明年度 0.001864(50/94)	桃園縣政府 0.001827(42/354)	今年度 0.001791(47/268)	緊急會議 0.001791(50/74)	衛生福利部 0.001754(48/258)	
合宜住宅 0.026144(938/944)	八德合宜 0.007498(269/269)	副縣長 0.007442(258/562)	涉貪 0.007135(257/343)	縣長吳志揚 0.006634(231/374)	遠雄集團 0.005658(203/203)	住宅政策 0.004961(170/286)	董事長趙藤雄 0.004683(168/168)	縣長葉世文 0.004097(143/306)	網路簡訊 0.00407(146/146)	
主計總處 0.002419(57/372)	董事總經理 0.001854(46/70)	電子商務 0.001814(49/722)	托老中心 0.001774(44/74)	高峰論壇 0.001572(40/62)	指標建案 0.001492(39/66)	服務平台 0.001411(35/92)	為目標 0.001411(37/178)	國防預算 0.001411(35/46)	發展趨勢 0.001371(36/98)	
世足賽 0.00316(66/400)	衛生福利部 0.0026(66/258)	食品藥物 0.00212(59/118)	共同舉辦 0.00212(53/124)	停班 0.00196(48/86)	藥物管理 0.00184(44/87)	空氣品質 0.00172(43/186)	彰化市公所 0.00172(42/50)	早鳥 0.00172(44/77)	8月11日 0.00168(44/98)	
12年國教 0.011016(376/404)	十二年國教 0.0094(320/352)	免試入學 0.008078(275/275)	特色招生 0.004906(167/167)	級分 0.003643(123/130)	基北區 0.003143(107/107)	志願序 0.002997(101/129)	國中會考 0.00285(97/117)	選填志願 0.002527(86/112)	特招考試 0.002203(75/75)	
報告指出 0.004439(106/344)	新車 0.0044(108/358)	約新台幣 0.002082(59/228)	送禮 0.002004(50/190)	莫拉克風災 0.002004(53/89)	社會住宅 0.001964(55/792)	市政會議 0.001886(46/170)	住房專案 0.001768(46/91)	明顯成長 0.001689(40/115)	中央社記者 0.001689(41/84)	
戶政事務所 0.005702(161/200)	7月1日 0.003778(115/602)	管理委員會 0.003632(105/188)	財團法人 0.003269(97/290)	監督管理 0.003087(85/108)	前立委顏清標 0.003051(85/90)	停車格 0.002252(63/86)	今天舉辦 0.002216(59/76)	金融監督 0.002216(61/72)	交通運輸 0.001816(49/142)	
自由經濟 0.022084(548/770)	經濟示範區 0.019507(491/708)	特別條例 0.007216(184/392)	示範區特別 0.006067(154/296)	台灣前途 0.003965(97/264)	解決問題 0.003886(93/356)	人士說 0.00337(82/238)	航空公司 0.002974(73/808)	吳副總統 0.002538(63/82)	媒體採訪 0.002538(60/96)	
台灣高鐵 0.009226(252/252)	高鐵公司 0.005639(156/168)	開賣 0.005639(152/207)	作業系統 0.005236(144/167)	來台灣 0.004064(118/286)	股價指數 0.003661(103/234)	今年6月 0.003552(90/328)	資產管理 0.003295(82/216)	下午1時 0.00216(62/110)	人民銀行 0.001977(56/139)	
宏達電 0.003879(104/211)	基礎設施 0.003221(85/166)	電子票證 0.002525(70/164)	經濟對話 0.002452(69/149)	證券市場 0.002196(59/98)	官員說 0.002086(58/324)	七夕情人節 0.001977(49/184)	資訊觀測站 0.001684(46/46)	公開資訊 0.001647(45/56)	彈道飛彈 0.001647(47/153)	
道瓊工業 0.006275(173/173)	指數上漲 0.00584(161/293)	智慧手機 0.005695(153/348)	指數下跌 0.005586(154/209)	陳震遠 0.005477(151/151)	英國倫敦 0.005006(141/158)	工業指數 0.004534(125/125)	創新高 0.004353(111/652)	陳震武 0.004026(111/111)	費城半導體 0.003591(101/107)	
消息人士 0.011116(283/378)	值得注意 0.006132(167/376)	人士透露 0.002967(72/190)	台塑化 0.002888(72/80)	金額新台幣 0.002769(67/191)	8月8日 0.002295(61/140)	人士說 0.002216(55/238)	造勢活動 0.002057(49/89)	海外不動產 0.002057(53/78)	知情人士 0.002018(50/176)	
創新高 0.00874(252/652)	注中獎 0.008352(237/237)	副總統吳敦義 0.007224(208/356)	中獎號碼 0.00659(187/187)	中油公司 0.006484(181/212)	無鉛汽油 0.005216(148/148)	號碼為 0.004828(137/137)	國際油價 0.004476(127/207)	國民黨主席 0.004018(110/218)	7月營收 0.003489(98/251)	
大法人 0.008187(194/361)	產業園區 0.004115(98/180)	彰南產業 0.003191(76/76)	股王大立光 0.003149(73/131)	彰化縣政府 0.002603(64/220)	月新高 0.002435(58/153)	環保團體 0.001974(48/136)	不動產統一 0.001932(46/46)	統一登記 0.001932(46/46)	為主題 0.00189(49/138)	
台獨黨綱 0.015813(474/491)	高雄市長 0.014112(398/772)	支持者 0.011209(338/526)	主席蔡英文 0.010942(328/566)	市長賴清德 0.009441(273/388)	總統大選 0.009074(277/460)	台南市長 0.008207(251/298)	服貿協議 0.006772(203/822)	凍結台獨 0.006239(187/187)	兩岸政策 0.005772(169/215)	
石化專區 0.016051(522/522)	石化管線 0.014606(472/528)	國家公園 0.009317(303/484)	石化產業 0.00861(277/321)	世足賽 0.003844(121/400)	經濟部長杜紫軍 0.003659(116/134)	地方政府 0.003629(116/1190)	投資金額 0.003352(112/252)	高雄石化 0.003075(101/152)	石化工業區 0.002614(87/106)	
